"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"CRLS1","54675",1,"38409266","cancer","PubMed+PubTator3"
"CSF3","1440",1,"29378629","cancer","PubMed+PubTator3"
"CSNK1E","1454",1,"25187986","cancer","PubMed+PubTator3"
"CST1","1469",1,"26683690","cancer","PubMed+PubTator3"
"CTD-2377D24.4","105371811",1,"38761291","cancer","PubMed+PubTator3"
"CTD-3080P12.3","101928857",1,"38697998","cancer","PubMed+PubTator3"
"CTNNA1","1495",1,"23171949","cancer","PubMed+PubTator3"
"CTNNAL1","8727",1,"26683690","cancer","PubMed+PubTator3"
"CTRB2","440387",1,"36116415","cancer","PubMed+PubTator3"
"CTRC","11330",1,"36116415","cancer","PubMed+PubTator3"
"CTSA","5476",1,"39878408","cancer","PubMed+PubTator3"
"CTTN","2017",1,"29700001","cancer","PubMed+PubTator3"
"CX3CL1","6376",1,"19457610","cancer","PubMed+PubTator3"
"Cyclin D1","595",1,"28886127","cancer","PubMed+PubTator3"
"cyclin-dependent kinase inhibitor 2A","1029",1,"33419800","cancer","PubMed+PubTator3"
"cyclins","81669",1,"24423449","cancer","PubMed+PubTator3"
"CYFIP2","26999",1,"28339086","cancer","PubMed+PubTator3"
"CYP19A1","1588",1,"34675350","cancer","PubMed+PubTator3"
"CYP27A1","1593",1,"40755754","cancer","PubMed+PubTator3"
"CYP2A6","1548",1,"28583088","cancer","PubMed+PubTator3"
"CYP2E1","1571",1,"11882782","cancer","PubMed+PubTator3"
"cytochrome P450","4051",1,"24820496","cancer","PubMed+PubTator3"
"cytochrome P450 19","1588",1,"16322257","cancer","PubMed+PubTator3"
"cytochrome P450 family 2 subfamily D member 6","1565",1,"33419800","cancer","PubMed+PubTator3"
"DCAF16","54876",1,"33909040","cancer","PubMed+PubTator3"
"DCC","1630",1,"21347779","cancer","PubMed+PubTator3"
"DCLK3","85443",1,"28195176","cancer","PubMed+PubTator3"
"DCT","1638",1,"28339086","cancer","PubMed+PubTator3"
"DDHD2","23259",1,"30243646","cancer","PubMed+PubTator3"
"DDIT3","1649",1,"34839022","cancer","PubMed+PubTator3"
"DDX27","55661",1,"33258187","cancer","PubMed+PubTator3"
"DDX28","55794",1,"22363440","cancer","PubMed+PubTator3"
"DDX3Y","8653",1,"36194576","cancer","PubMed+PubTator3"
"DEAF1","10522",1,"40554679","cancer","PubMed+PubTator3"
"DET1","55070",1,"36194576","cancer","PubMed+PubTator3"
"DHODH","1723",1,"28362817","cancer","PubMed+PubTator3"
"DICER1","23405",1,"31278746","cancer","PubMed+PubTator3"
"DIS3","22894",1,"23158542","cancer","PubMed+PubTator3"
"DLG2","1740",1,"25581428","cancer","PubMed+PubTator3"
"DLG5","9231",1,"41373777","cancer","PubMed+PubTator3"
"DLGAP5","9787",1,"22363440","cancer","PubMed+PubTator3"
"DMRT1","1761",1,"30289875","cancer","PubMed+PubTator3"
"DNAH14","127602",1,"28339086","cancer","PubMed+PubTator3"
"DNAJC12","56521",1,"23302999","cancer","PubMed+PubTator3"
"DNALI1","7802",1,"34965383","cancer","PubMed+PubTator3"
"Dock2","94176",1,"39067134","cancer","PubMed+PubTator3"
"DPB1","3115",1,"30384854","cancer","PubMed+PubTator3"
"DPF3","8110",1,"36194576","cancer","PubMed+PubTator3"
"DPP4","1803",1,"41006377","cancer","PubMed+PubTator3"
"DPP6","1804",1,"22479372","cancer","PubMed+PubTator3"
"DPT","1805",1,"26683690","cancer","PubMed+PubTator3"
"DQA1","3117",1,"30384854","cancer","PubMed+PubTator3"
"DR5","8795",1,"26136424","cancer","PubMed+PubTator3"
"DRB1","3123",1,"30384854","cancer","PubMed+PubTator3"
"DST","667",1,"28339086","cancer","PubMed+PubTator3"
"DUSP10","11221",1,"35812248","cancer","PubMed+PubTator3"
"E2A","6929",1,"17344859","cancer","PubMed+PubTator3"
"E2F transcription factor 1","399489",1,"26178168","cancer","PubMed+PubTator3"
"E3 ubiquitin ligase","158506",1,"39324133","cancer","PubMed+PubTator3"
"E6","NA",1,"8945609","cancer","PubMed+PubTator3"
"EBF1","1879",1,"17344859","cancer","PubMed+PubTator3"
"ECT2","1894",1,"30243646","cancer","PubMed+PubTator3"
"EEFSEC","60678",1,"34675350","cancer","PubMed+PubTator3"
"EFNA1","1942",1,"23158542","cancer","PubMed+PubTator3"
"EFNA4","1945",1,"25572802","cancer","PubMed+PubTator3"
"EFNB2","1948",1,"28886127","cancer","PubMed+PubTator3"
"EGF","1950",1,"41270069","cancer","PubMed+PubTator3"
"EGLN3","112399",1,"30334361","cancer","PubMed+PubTator3"
"EGR1","1958",1,"22930530","cancer","PubMed+PubTator3"
"EIF1AX","1964",1,"32812852","cancer","PubMed+PubTator3"
"EIF2C3","192669",1,"22174824","cancer","PubMed+PubTator3"
"EIF3E","3646",1,"30243646","cancer","PubMed+PubTator3"
"EIF3H","8667",1,"31278746","cancer","PubMed+PubTator3"
"ELAVL1","1994",1,"25913416","cancer","PubMed+PubTator3"
"ELF4","2000",1,"19457610","cancer","PubMed+PubTator3"
"EML4","27436",1,"39126824","cancer","PubMed+PubTator3"
"EN1","2019",1,"38697998","cancer","PubMed+PubTator3"
"EPAS1","2034",1,"25798919","cancer","PubMed+PubTator3"
"EPB41","269587",1,"27453575","cancer","PubMed+PubTator3"
"EPB41L4A","64097",1,"27671336","cancer","PubMed+PubTator3"
"EpCAM","4072",1,"25411184","cancer","PubMed+PubTator3"
"EPCAM","4072",1,"33135729","cancer","PubMed+PubTator3"
"EPHA7","2045",1,"22941188","cancer","PubMed+PubTator3"
"Ephb2","2048",1,"20639864","cancer","PubMed+PubTator3"
"EPHB2","2048",1,"20639864","cancer","PubMed+PubTator3"
"EPHX1","2052",1,"11882782","cancer","PubMed+PubTator3"
"epidermal growth factor receptor 2","2064",1,"36240473","cancer","PubMed+PubTator3"
"Erbb2","13866;2064",1,"39067134","cancer","PubMed+PubTator3"
"ERBB3","2065",1,"30728399","cancer","PubMed+PubTator3"
"ERBB4","2066",1,"41415280","cancer","PubMed+PubTator3"
"ERbeta","2100",1,"21493669","cancer","PubMed+PubTator3"
"ERCC2","2068",1,"31264434","cancer","PubMed+PubTator3"
"ERG","2078",1,"23695551","cancer","PubMed+PubTator3"
"ERK","2048",1,"23171949","cancer","PubMed+PubTator3"
"Erk1/2","5595;5594",1,"22930530","cancer","PubMed+PubTator3"
"ERK1/2","26417;26413",1,"26408534","cancer","PubMed+PubTator3"
"ERO1LB","56605",1,"28177904","cancer","PubMed+PubTator3"
"ERV3-1","2086",1,"27455841","cancer","PubMed+PubTator3"
"ESAM","90952",1,"39420005","cancer","PubMed+PubTator3"
"ESRP1","54845",1,"29936137","cancer","PubMed+PubTator3"
"ESRP2","80004",1,"23884293","cancer","PubMed+PubTator3"
"estrogen receptor alpha","2099",1,"28886127","cancer","PubMed+PubTator3"
"Estrogen receptor alpha","2099",1,"26906743","cancer","PubMed+PubTator3"
"Estrogen receptor beta","2100",1,"21493669","cancer","PubMed+PubTator3"
"estrogen-receptor","2099",1,"38697998","cancer","PubMed+PubTator3"
"EVI1","2122",1,"26234679","cancer","PubMed+PubTator3"
"Fabp6","16204",1,"32600361","cancer","PubMed+PubTator3"
"FAM111A","63901",1,"22366784","cancer","PubMed+PubTator3"
"FAM111B","374393",1,"22366784","cancer","PubMed+PubTator3"
"FAM135B","51059",1,"24670651","cancer","PubMed+PubTator3"
"FAM178A","55719",1,"28339086","cancer","PubMed+PubTator3"
"FAM221A","340277",1,"33638948","cancer","PubMed+PubTator3"
"FAM53A","152877",1,"39789109","cancer","PubMed+PubTator3"
"Fam81a","76886",1,"39067134","cancer","PubMed+PubTator3"
"FANCD2","2177",1,"32920123","cancer","PubMed+PubTator3"
"FANCI","55215",1,"32902196","cancer","PubMed+PubTator3"
"FAP","2191",1,"26683690","cancer","PubMed+PubTator3"
"Fas","355",1,"26136424","cancer","PubMed+PubTator3"
"FAS","355",1,"26136424","cancer","PubMed+PubTator3"
"FasL","356;14103",1,"26136424","cancer","PubMed+PubTator3"
"FAT","2195",1,"34263978","cancer","PubMed+PubTator3"
"FAT4","79633",1,"31395065","cancer","PubMed+PubTator3"
"Fatty acid binding protein 6","16204",1,"32600361","cancer","PubMed+PubTator3"
"FBN1","2200",1,"17171680","cancer","PubMed+PubTator3"
"FBN2","2201",1,"29408647","cancer","PubMed+PubTator3"
"FBXL20","84961",1,"39002386","cancer","PubMed+PubTator3"
"FBXL5","26234",1,"33142748","cancer","PubMed+PubTator3"
"FBXW11","23291",1,"33142748","cancer","PubMed+PubTator3"
"FBXW7","55294",1,"23171949","cancer","PubMed+PubTator3"
"Fc gamma receptor","2209",1,"25113377","cancer","PubMed+PubTator3"
"FERMT1","55612",1,"26683690","cancer","PubMed+PubTator3"
"FGF12","2257",1,"32857918","cancer","PubMed+PubTator3"
"FGF19","9965",1,"26099527","cancer","PubMed+PubTator3"
"FHIT","2272",1,"25581428","cancer","PubMed+PubTator3"
"fibroblast growth factor receptor 2","2263",1,"22034905","cancer","PubMed+PubTator3"
"FLCN","201163",1,"23038766","cancer","PubMed+PubTator3"
"FLII","2314",1,"39878408","cancer","PubMed+PubTator3"
"FLT4","2324",1,"33419800","cancer","PubMed+PubTator3"
"FMO3","2328",1,"28583088","cancer","PubMed+PubTator3"
"fms-related receptor tyrosine kinase 4","2324",1,"33419800","cancer","PubMed+PubTator3"
"forkhead box L1","2300",1,"25395235","cancer","PubMed+PubTator3"
"FOX2","23543",1,"25913416","cancer","PubMed+PubTator3"
"FOXL1","2300",1,"25395235","cancer","PubMed+PubTator3"
"FoxO1","56458",1,"25539728","cancer","PubMed+PubTator3"
"FoxO3a","56484",1,"25539728","cancer","PubMed+PubTator3"
"FoxO4","54601",1,"25539728","cancer","PubMed+PubTator3"
"fumarate hydratase","2271",1,"23038766","cancer","PubMed+PubTator3"
"G9a","10919",1,"26136424","cancer","PubMed+PubTator3"
"GABPA","2551",1,"38748784","cancer","PubMed+PubTator3"
"GADD45B","4616",1,"22664866","cancer","PubMed+PubTator3"
"GALNT10","55568",1,"25551281","cancer","PubMed+PubTator3"
"gap junction protein beta 2","2706",1,"28177904","cancer","PubMed+PubTator3"
"GAPDH","2597",1,"40936758","cancer","PubMed+PubTator3"
"GAS1","2619",1,"41270069","cancer","PubMed+PubTator3"
"GATA","55278",1,"26234679","cancer","PubMed+PubTator3"
"GATA3","2625",1,"23000897","cancer","PubMed+PubTator3"
"GATA4","14463",1,"26408534","cancer","PubMed+PubTator3"
"GATA5","140628",1,"27225266","cancer","PubMed+PubTator3"
"GBP1","2633",1,"23884293","cancer","PubMed+PubTator3"
"GCNT2","2651",1,"41415280","cancer","PubMed+PubTator3"
"GDF15","9518",1,"33638948","cancer","PubMed+PubTator3"
"GGCX","2677",1,"41188790","cancer","PubMed+PubTator3"
"GGT","653590",1,"34321100","cancer","PubMed+PubTator3"
"GINS1","9837",1,"33731882","cancer","PubMed+PubTator3"
"GJB2","2706",1,"28177904","cancer","PubMed+PubTator3"
"GLP","79813",1,"26136424","cancer","PubMed+PubTator3"
"glucocorticoid receptor","14815",1,"28990076","cancer","PubMed+PubTator3"
"GLUD2","2747",1,"23884293","cancer","PubMed+PubTator3"
"glutathione-S-transferase","373156",1,"11882782","cancer","PubMed+PubTator3"
"GNA11","2767",1,"28188128","cancer","PubMed+PubTator3"
"GNAI2","2771",1,"24423449","cancer","PubMed+PubTator3"
"GNAL","2774",1,"19457610","cancer","PubMed+PubTator3"
"GNL2","29889",1,"34965383","cancer","PubMed+PubTator3"
"GP4","948",1,"23695551","cancer","PubMed+PubTator3"
"GPCR","442206",1,"27455841","cancer","PubMed+PubTator3"
"GPNMB","10457",1,"23158542","cancer","PubMed+PubTator3"
"GPR160","26996",1,"39623312","cancer","PubMed+PubTator3"
"GREM1","26585",1,"35812248","cancer","PubMed+PubTator3"
"GRHL1","29841",1,"41713536","cancer","PubMed+PubTator3"
"GRK5","2869",1,"26683690","cancer","PubMed+PubTator3"
"GSDMB","55876",1,"39002386","cancer","PubMed+PubTator3"
"GST","NA",1,"34308964","cancer","PubMed+PubTator3"
"GSTM1","2944",1,"11882782","cancer","PubMed+PubTator3"
"GSTP1","2950",1,"39878408","cancer","PubMed+PubTator3"
"GSTT1","2952",1,"11882782","cancer","PubMed+PubTator3"
"GYPE","2996",1,"33909040","cancer","PubMed+PubTator3"
"H2AFV","94239",1,"39878408","cancer","PubMed+PubTator3"
"H3F3A","3020",1,"28638988","cancer","PubMed+PubTator3"
"HAAO","23498",1,"41188790","cancer","PubMed+PubTator3"
"HACE1","57531",1,"22941191","cancer","PubMed+PubTator3"
"HBB","3043",1,"34261517","cancer","PubMed+PubTator3"
"HBEGF","1839",1,"26683690","cancer","PubMed+PubTator3"
"HDAC","9734",1,"34341073","cancer","PubMed+PubTator3"
"HELQ","113510",1,"41713536","cancer","PubMed+PubTator3"
"HER-2","2064",1,"23171949","cancer","PubMed+PubTator3"
"HER3","2065",1,"34167951","cancer","PubMed+PubTator3"
"HERC1","8925",1,"23171949","cancer","PubMed+PubTator3"
"HEY2","23493",1,"34675350","cancer","PubMed+PubTator3"
"HGF","3082",1,"22980976","cancer","PubMed+PubTator3"
"HIF-1","3091",1,"32493953","cancer","PubMed+PubTator3"
"HIST1H2BN","8341",1,"38845201","cancer","PubMed+PubTator3"
"HLA-A","3105",1,"31345234","cancer","PubMed+PubTator3"
"HLA-A, -B, -C","3105;3106;3107",1,"30384854","cancer","PubMed+PubTator3"
"HLA-B","3106",1,"31345234","cancer","PubMed+PubTator3"
"HLA-C","3107",1,"31345234","cancer","PubMed+PubTator3"
"HMGA1","3159",1,"34021172","cancer","PubMed+PubTator3"
"HMGA2","8091",1,"25581428","cancer","PubMed+PubTator3"
"hMLH1","4292",1,"8646682","cancer","PubMed+PubTator3"
"HNF1B","6928",1,"22730461","cancer","PubMed+PubTator3"
"HNF4a","3172",1,"40554679","cancer","PubMed+PubTator3"
"HNF4A","3172",1,"28583088","cancer","PubMed+PubTator3"
"HNF4alpha","3172",1,"31395065","cancer","PubMed+PubTator3"
"HNF4G","3174",1,"39002386","cancer","PubMed+PubTator3"
"HNRNPC","3183",1,"25913416","cancer","PubMed+PubTator3"
"HNRNPLL","92906",1,"29936137","cancer","PubMed+PubTator3"
"homeobox B13","10481",1,"26398868","cancer","PubMed+PubTator3"
"HOOK1","51361",1,"23302999","cancer","PubMed+PubTator3"
"HOXA10","3206",1,"23172663","cancer","PubMed+PubTator3"
"HOXA2","3199",1,"23172663","cancer","PubMed+PubTator3"
"HOXB7","3217",1,"38761291","cancer","PubMed+PubTator3"
"HOXB8","3218",1,"34839022","cancer","PubMed+PubTator3"
"HOXC4/5","3221;3222",1,"34021172","cancer","PubMed+PubTator3"
"HOXC6","3223",1,"28666851","cancer","PubMed+PubTator3"
"HPGD","3248",1,"26683690","cancer","PubMed+PubTator3"
"Hras","15461",1,"26168291","cancer","PubMed+PubTator3"
"hsa-miR-200 c","406985",1,"28436302","cancer","PubMed+PubTator3"
"HSD17B2","3294",1,"25572802","cancer","PubMed+PubTator3"
"Hsp90AB1","3326",1,"39324133","cancer","PubMed+PubTator3"
"hub","1993",1,"33280513","cancer","PubMed+PubTator3"
"Hub","1993",1,"33280513","cancer","PubMed+PubTator3"
"huntingtin","3064",1,"31450785","cancer","PubMed+PubTator3"
"Huntingtin","3064",1,"31450785","cancer","PubMed+PubTator3"
"IAP","15601",1,"20025072","cancer","PubMed+PubTator3"
"IDH","3417",1,"28638988","cancer","PubMed+PubTator3"
"IDH2","3418",1,"28638988","cancer","PubMed+PubTator3"
"IER3","8870",1,"40806320","cancer","PubMed+PubTator3"
"IFIH1","64135",1,"16804532","cancer","PubMed+PubTator3"
"IGF1","3479",1,"33229445","cancer","PubMed+PubTator3"
"IGSF10","285313",1,"28339086","cancer","PubMed+PubTator3"
"IIS","404552",1,"32160537","cancer","PubMed+PubTator3"
"IKAROS","10320",1,"17344859","cancer","PubMed+PubTator3"
"IKZF1","10320",1,"17344859","cancer","PubMed+PubTator3"
"IKZF3","22806",1,"17344859","cancer","PubMed+PubTator3"
"IL-1 receptor (IL-1R) antagonist","3557",1,"26676204","cancer","PubMed+PubTator3"
"IL-1R1","3554",1,"26676204","cancer","PubMed+PubTator3"
"IL-34","146433",1,"25395235","cancer","PubMed+PubTator3"
"IL-36 receptor antagonist","26525",1,"26676204","cancer","PubMed+PubTator3"
"IL-36Ra","26525",1,"26676204","cancer","PubMed+PubTator3"
"IL-36RN","26525",1,"26676204","cancer","PubMed+PubTator3"
"IL1-F5","26525",1,"26676204","cancer","PubMed+PubTator3"
"IL11RA","3590",1,"40755754","cancer","PubMed+PubTator3"
"IL17D","53342",1,"34839022","cancer","PubMed+PubTator3"
"IL1RL1","9173",1,"29378629","cancer","PubMed+PubTator3"
"IL24","11009",1,"28339086","cancer","PubMed+PubTator3"
"IL2RA","3559",1,"16804532","cancer","PubMed+PubTator3"
"IL7 R","3575",1,"32812852","cancer","PubMed+PubTator3"
"IMP4","92856",1,"28339086","cancer","PubMed+PubTator3"
"Ink4a/Arf","1029;12578;1029",1,"20639864","cancer","PubMed+PubTator3"
"INK4A/ARF","1029",1,"20639864","cancer","PubMed+PubTator3"
"insulin","3630",1,"31450785","cancer","PubMed+PubTator3"
"interferon-gamma","3458",1,"39799269","cancer","PubMed+PubTator3"
"Interleukin (IL)-36RN","26525",1,"26676204","cancer","PubMed+PubTator3"
"interleukin-1-alpha","3552",1,"40038097","cancer","PubMed+PubTator3"
"interleukin-34","146433",1,"25395235","cancer","PubMed+PubTator3"
"Interleukin-34","146433",1,"25395235","cancer","PubMed+PubTator3"
"interleukin-6","3569",1,"40038097","cancer","PubMed+PubTator3"
"INTS8","55656",1,"30243646","cancer","PubMed+PubTator3"
"IRAK2","3656",1,"36194576","cancer","PubMed+PubTator3"
"IRAK3","11213",1,"40755754","cancer","PubMed+PubTator3"
"IREB2","3658",1,"22539604","cancer","PubMed+PubTator3"
"IRF2","3660",1,"31395065","cancer","PubMed+PubTator3"
"IRF5","3663",1,"16804532","cancer","PubMed+PubTator3"
"iron-responsive element binding protein 2","3658",1,"22539604","cancer","PubMed+PubTator3"
"IRS2","8660",1,"41540004","cancer","PubMed+PubTator3"
"ITGAL","3683",1,"32812852","cancer","PubMed+PubTator3"
"ITGAV","3685",1,"36116415","cancer","PubMed+PubTator3"
"JAK1","3716",1,"22930530","cancer","PubMed+PubTator3"
"JAKMIP1","152789",1,"28339086","cancer","PubMed+PubTator3"
"JNK","5599",1,"29666306","cancer","PubMed+PubTator3"
"JUN","3725",1,"39324133","cancer","PubMed+PubTator3"
"KANK1","23189",1,"35180847","cancer","PubMed+PubTator3"
"KBTBD4","55709",1,"28726821","cancer","PubMed+PubTator3"
"KCNJ5","3762",1,"25572802","cancer","PubMed+PubTator3"
"KCNMB1","3779",1,"40755754","cancer","PubMed+PubTator3"
"KCNN3","3782",1,"29408647","cancer","PubMed+PubTator3"
"KCTD7","154881",1,"33142748","cancer","PubMed+PubTator3"
"KDELR1","10945",1,"19457610","cancer","PubMed+PubTator3"
"KDM6B","23135",1,"25275298","cancer","PubMed+PubTator3"
"KHDRBS1","10657",1,"25913416","cancer","PubMed+PubTator3"
"KHK","3795",1,"36194576","cancer","PubMed+PubTator3"
"KIF11","3832",1,"32616754","cancer","PubMed+PubTator3"
"KIF20A","10112",1,"39324133","cancer","PubMed+PubTator3"
"KIF4A.","24137",1,"39324133","cancer","PubMed+PubTator3"
"KIF5A","3798",1,"23265383","cancer","PubMed+PubTator3"
"KIF5B","3799",1,"39126824","cancer","PubMed+PubTator3"
"kinesin family member 5A","3798",1,"23265383","cancer","PubMed+PubTator3"
"KLF12","11278",1,"25581428","cancer","PubMed+PubTator3"
"KLF14","136259",1,"34021172","cancer","PubMed+PubTator3"
"KLF2","10365",1,"39623312","cancer","PubMed+PubTator3"
"KLF4","9314",1,"40936758","cancer","PubMed+PubTator3"
"KLF5","688",1,"25581428","cancer","PubMed+PubTator3"
"KLHL35","283212",1,"22457049","cancer","PubMed+PubTator3"
"KMT2A","4297",1,"28039579","cancer","PubMed+PubTator3"
"KMT2C","58508",1,"24670651","cancer","PubMed+PubTator3"
"KRT1","3848",1,"26110572","cancer","PubMed+PubTator3"
"KRT73","319101",1,"41373777","cancer","PubMed+PubTator3"
"KRT81","3887",1,"41415280","cancer","PubMed+PubTator3"
"LAMA3","3909",1,"26683690","cancer","PubMed+PubTator3"
"LDL-receptor","3949",1,"33186476","cancer","PubMed+PubTator3"
"LEF1","51176",1,"17344859","cancer","PubMed+PubTator3"
"LEPREL1","55214",1,"25581428","cancer","PubMed+PubTator3"
"LIMS2","55679",1,"40755754","cancer","PubMed+PubTator3"
"LIN28B","389421",1,"22941191","cancer","PubMed+PubTator3"
"LINC01137","728431",1,"34965383","cancer","PubMed+PubTator3"
"LINC01234","100506465",1,"27338266","cancer","PubMed+PubTator3"
"LMNA","4000",1,"39878408","cancer","PubMed+PubTator3"
"LMO1","4004",1,"28854983","cancer","PubMed+PubTator3"
"LNX2","222484",1,"26829059","cancer","PubMed+PubTator3"
"LRP5L","91355",1,"30334361","cancer","PubMed+PubTator3"
"LRRC10B","390205",1,"39002386","cancer","PubMed+PubTator3"
"LRRC25","126364",1,"28362817","cancer","PubMed+PubTator3"
"LRRC26","389816",1,"32573269","cancer","PubMed+PubTator3"
"LSM1","27257",1,"30243646","cancer","PubMed+PubTator3"
"LSP1","4046",1,"19092773","cancer","PubMed+PubTator3"
"lysine (K)-specific demethylase 6A","7403",1,"23265383","cancer","PubMed+PubTator3"
"lysine methyltransferase 2D","8085",1,"33419800","cancer","PubMed+PubTator3"
"LZTS1","11178",1,"17171680","cancer","PubMed+PubTator3"
"MACF1","23499",1,"28339086","cancer","PubMed+PubTator3"
"macrophage migration inhibitory factor","4282",1,"41713536","cancer","PubMed+PubTator3"
"MAD2L1BP","9587",1,"23884293","cancer","PubMed+PubTator3"
"MAFA","389692",1,"32869528","cancer","PubMed+PubTator3"
"MAGED1","9500",1,"23884293","cancer","PubMed+PubTator3"
"MALAT1","378938",1,"28128360","cancer","PubMed+PubTator3"
"MAP1LC3A","84557",1,"38502355","cancer","PubMed+PubTator3"
"MAP2K2","5605",1,"30446580","cancer","PubMed+PubTator3"
"MAP2K4","6416",1,"22522925","cancer","PubMed+PubTator3"
"MAP2K7","5609",1,"29666306","cancer","PubMed+PubTator3"
"MAP3K13","9175",1,"32857918","cancer","PubMed+PubTator3"
"MAP3K3","4215",1,"32812852","cancer","PubMed+PubTator3"
"MAPK3","5595",1,"39878408","cancer","PubMed+PubTator3"
"MAPKAP1","79109",1,"28223168","cancer","PubMed+PubTator3"
"MAPRE1","22919",1,"33258187","cancer","PubMed+PubTator3"
"MAPT","4137",1,"28339086","cancer","PubMed+PubTator3"
"MBNL1","4154",1,"25913416","cancer","PubMed+PubTator3"
"MCM3","4172",1,"39324133","cancer","PubMed+PubTator3"
"MCM6","4175",1,"28339086","cancer","PubMed+PubTator3"
"MDM4","4194",1,"38400758","cancer","PubMed+PubTator3"
"MDS1","2122",1,"26234679","cancer","PubMed+PubTator3"
"MDS1 and ecotropic viral integration site 1","2122",1,"26234679","cancer","PubMed+PubTator3"
"MEAF6","64769",1,"34965383","cancer","PubMed+PubTator3"
"MED12","9968",1,"29248888","cancer","PubMed+PubTator3"
"MED12L","116931",1,"27671336","cancer","PubMed+PubTator3"
"Mek1/2","5604;5605",1,"22930530","cancer","PubMed+PubTator3"
"MELK","9833",1,"26683690","cancer","PubMed+PubTator3"
"MEN1","4221",1,"36804482","cancer","PubMed+PubTator3"
"METRNL","284207",1,"37632791","cancer","PubMed+PubTator3"
"MHC","3107",1,"31450785","cancer","PubMed+PubTator3"
"microsomal epoxide hydrolase","2052",1,"11882782","cancer","PubMed+PubTator3"
"MIEN1","84299",1,"34839022","cancer","PubMed+PubTator3"
"miR-1-1","406904;79187",1,"21734013","cancer","PubMed+PubTator3"
"miR-1257","100302168",1,"28886127","cancer","PubMed+PubTator3"
"miR-148a","406940",1,"24400111","cancer","PubMed+PubTator3"
"miR-15a","406948",1,"24400111","cancer","PubMed+PubTator3"
"miR-16","51573",1,"28436302","cancer","PubMed+PubTator3"
"miR-18a, 19a, 20a, 30a, 103b, 126, 126*","406953",1,"23196705","cancer","PubMed+PubTator3"
"miR-190b","100126346",1,"27338266","cancer","PubMed+PubTator3"
"miR-200a","406983",1,"27034531","cancer","PubMed+PubTator3"
"miR-200b","406984",1,"27034531","cancer","PubMed+PubTator3"
"miR-20b","574032",1,"28886127","cancer","PubMed+PubTator3"
"miR-20b-","574032",1,"28886127","cancer","PubMed+PubTator3"
"miR-23b","407011",1,"28886127","cancer","PubMed+PubTator3"
"miR-30d","407033",1,"24739237","cancer","PubMed+PubTator3"
"miR-320a","407037",1,"24400111","cancer","PubMed+PubTator3"
"miR-378g","100616321",1,"28886127","cancer","PubMed+PubTator3"
"miR-451","574411",1,"24400111","cancer","PubMed+PubTator3"
"miR-584","693169",1,"28886127","cancer","PubMed+PubTator3"
"miR-596","693181",1,"24400111","cancer","PubMed+PubTator3"
"miR-612","693197",1,"28886127","cancer","PubMed+PubTator3"
"MIR548K","100313770",1,"24670651","cancer","PubMed+PubTator3"
"MIX","83881",1,"33142748","cancer","PubMed+PubTator3"
"MLL","4297",1,"22941188","cancer","PubMed+PubTator3"
"MLL1","4297",1,"25275298","cancer","PubMed+PubTator3"
"MMP7","4316",1,"41270069","cancer","PubMed+PubTator3"
"MOCOS","55034",1,"28339086","cancer","PubMed+PubTator3"
"MORF4L1","10933",1,"17171680","cancer","PubMed+PubTator3"
"MPO","4353",1,"11882782","cancer","PubMed+PubTator3"
"MTMR6","9107",1,"39002386","cancer","PubMed+PubTator3"
"MTOR","2475",1,"28188128","cancer","PubMed+PubTator3"
"MTSS1","9788",1,"26829059","cancer","PubMed+PubTator3"
"MUC1","4582",1,"25411184","cancer","PubMed+PubTator3"
"MUC17","140453",1,"29360550","cancer","PubMed+PubTator3"
"mucin","100508689",1,"25411184","cancer","PubMed+PubTator3"
"MX1","4599",1,"28666851","cancer","PubMed+PubTator3"
"myeloperoxidase","4353",1,"11882782","cancer","PubMed+PubTator3"
"MYH9","4627",1,"33419800","cancer","PubMed+PubTator3"
"MYO9B","4650",1,"39878408","cancer","PubMed+PubTator3"
"myosin heavy chain 9","4627",1,"33419800","cancer","PubMed+PubTator3"
"N4BP2","55728",1,"39878408","cancer","PubMed+PubTator3"
"N4BP2L2","10443",1,"33258187","cancer","PubMed+PubTator3"
"NBN","4683",1,"19092773","cancer","PubMed+PubTator3"
"NBPF23","401967",1,"20517688","cancer","PubMed+PubTator3"
"NCAM1","4684",1,"29936137","cancer","PubMed+PubTator3"
"NCAPG2","54892",1,"32902196","cancer","PubMed+PubTator3"
"NCEH1","57552",1,"39878408","cancer","PubMed+PubTator3"
"Nckap5","210356",1,"39067134","cancer","PubMed+PubTator3"
"NCOA4","8031",1,"22730461","cancer","PubMed+PubTator3"
"ND4","4538",1,"27055661","cancer","PubMed+PubTator3"
"ND5","4540",1,"27055661","cancer","PubMed+PubTator3"
"NECAP2","55707",1,"30523707","cancer","PubMed+PubTator3"
"NEGR1","257194",1,"28235956","cancer","PubMed+PubTator3"
"neurofibromin","4763",1,"35702826","cancer","PubMed+PubTator3"
"neurofibromin 1","4763",1,"33419800","cancer","PubMed+PubTator3"
"NF-kappaBeta","4790",1,"20164920","cancer","PubMed+PubTator3"
"NFATc4","73181",1,"26408534","cancer","PubMed+PubTator3"
"NFkappaB p65","5970",1,"22930530","cancer","PubMed+PubTator3"
"NFKB1","4790",1,"26110572","cancer","PubMed+PubTator3"
"NIPSNAP3A","25934",1,"41006377","cancer","PubMed+PubTator3"
