"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"adenomatous polyposis coli","324",3,"17920230;18063416;35550340","cancer","PubMed+PubTator3"
"Akt","207",3,"25979769;26683690;41310897","cancer","PubMed+PubTator3"
"ALK","238",3,"20517688;22980976;39126824","cancer","PubMed+PubTator3"
"CCNE1","898",3,"22174824;22300766;23787073","cancer","PubMed+PubTator3"
"CHEK2","11200",3,"19092773;36804482;38400758","cancer","PubMed+PubTator3"
"COL1A2","1278",3,"20525369;34326374;36116415","cancer","PubMed+PubTator3"
"CTNNB1","1499",3,"26099527;29408647;36433963","cancer","PubMed+PubTator3"
"E2F1","1869;399489",3,"25631445;26178168;28302063","cancer","PubMed+PubTator3"
"epidermal growth factor receptor","1956",3,"16857815;33419800;41168822","cancer","PubMed+PubTator3"
"FAT1","2195",3,"25275298;25631445;34167951","cancer","PubMed+PubTator3"
"FN1","2335",3,"25579546;32616754;41415280","cancer","PubMed+PubTator3"
"FOXM1","2305",3,"22930530;23171949;26683690","cancer","PubMed+PubTator3"
"HLA","3105",3,"31345234;31450785;40936758","cancer","PubMed+PubTator3"
"HOXB13","10481",3,"26398868;26950096;31264434","cancer","PubMed+PubTator3"
"IDH1","3417",3,"28638988;29408647;41006377","cancer","PubMed+PubTator3"
"KEAP1","9817",3,"25278450;26099527;32374727","cancer","PubMed+PubTator3"
"KMT2D","8085",3,"24670651;33419800;34302033","cancer","PubMed+PubTator3"
"MEK","5609",3,"23033341;23171949;29695767","cancer","PubMed+PubTator3"
"MLL2","8085;9757",3,"24670651;25275298;26099527","cancer","PubMed+PubTator3"
"MLL3","58508",3,"23265383;24670651;25275298","cancer","PubMed+PubTator3"
"MSH2","4436",3,"24448331;29360550;36804482","cancer","PubMed+PubTator3"
"MSMB","4477",3,"22730461;38878676;41270069","cancer","PubMed+PubTator3"
"NFE2L2","4780",3,"24670651;25631445;34263978","cancer","PubMed+PubTator3"
"NQO1","1728",3,"11882782;19214744;26683690","cancer","PubMed+PubTator3"
"NRAS","4893",3,"27628192;28235956;32812852","cancer","PubMed+PubTator3"
"PAX5","5079",3,"17344859;22457049;28302063","cancer","PubMed+PubTator3"
"SOX4","6659",3,"30334361;31278746;41415280","cancer","PubMed+PubTator3"
"SPP1","6696",3,"34308964;41415280;41713536","cancer","PubMed+PubTator3"
"STK11","6794",3,"19092773;25278450;32374727","cancer","PubMed+PubTator3"
"TGFbeta","7040",3,"26972162;27671336;28683746","cancer","PubMed+PubTator3"
"TOP2A","7153",3,"20525369;23302999;32902196","cancer","PubMed+PubTator3"
"TSC1","7248",3,"23038766;26099527;28339086","cancer","PubMed+PubTator3"
"TSC2","7249",3,"23038766;26099527;36804482","cancer","PubMed+PubTator3"
"VHL","7428",3,"10567493;23038766;29126202","cancer","PubMed+PubTator3"
