"Gene","Gene_Name","Entrez_ID","Pathway_ID","Pathway_Name","Source","Phenotype"
"CTBP1","C-terminal binding protein 1","1487","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"CTBP2","C-terminal binding protein 2","1488","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"CTNNB1","catenin beta 1","1499","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"DKK1","dickkopf WNT signaling pathway inhibitor 1","22943","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"DKK4","dickkopf WNT signaling pathway inhibitor 4","27121","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"DKK2","dickkopf WNT signaling pathway inhibitor 2","27123","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"APC","APC regulator of WNT signaling pathway","324","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"LRP6","LDL receptor related protein 6","4040","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"LRP5","LDL receptor related protein 5","4041","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"RNF43","ring finger protein 43","54894","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2CA","protein phosphatase 2 catalytic subunit alpha","5515","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2CB","protein phosphatase 2 catalytic subunit beta","5516","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R1A","protein phosphatase 2 scaffold subunit Aalpha","5518","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R1B","protein phosphatase 2 scaffold subunit Abeta","5519","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R5A","protein phosphatase 2 regulatory subunit B'alpha","5525","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R5B","protein phosphatase 2 regulatory subunit B'beta","5526","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R5C","protein phosphatase 2 regulatory subunit B'gamma","5527","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R5D","protein phosphatase 2 regulatory subunit B'delta","5528","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PPP2R5E","protein phosphatase 2 regulatory subunit B'epsilon","5529","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"PORCN","porcupine O-acyltransferase","64840","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"TCF7L2","transcription factor 7 like 2","6934","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"FZD5","frizzled class receptor 5","7855","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"KREMEN2","kringle containing transmembrane protein 2","79412","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"TNKS2","tankyrase 2","80351","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"AXIN1","axin 1","8312","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"FZD4","frizzled class receptor 4","8322","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"FZD6","frizzled class receptor 6","8323","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"FZD8","frizzled class receptor 8","8325","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"KREMEN1","kringle containing transmembrane protein 1","83999","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"TNKS","tankyrase","8658","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"WNT3A","Wnt family member 3A","89780","R-HSA-4791275","Homo sapiens: Signaling by WNT in cancer","Reactome_Pathways","cancer"
"SLC22A18","solute carrier family 22 member 18","5002","R-HSA-5619066","Homo sapiens: Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)","Reactome_Pathways","cancer"
"CDK2","cyclin dependent kinase 2","1017","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDK4","cyclin dependent kinase 4","1019","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDK6","cyclin dependent kinase 6","1021","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDKN1C","cyclin dependent kinase inhibitor 1C","1028","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"E2F1","E2F transcription factor 1","1869","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"E2F2","E2F transcription factor 2","1870","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"E2F3","E2F transcription factor 3","1871","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"RB1","RB transcriptional corepressor 1","5925","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CCND1","cyclin D1","595","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"TFDP1","transcription factor Dp-1","7027","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"TFDP2","transcription factor Dp-2","7029","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CCND2","cyclin D2","894","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CCND3","cyclin D3","896","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CCNE1","cyclin E1","898","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CCNE2","cyclin E2","9134","R-HSA-9659787","Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC10","anaphase promoting complex subunit 10","10393","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"UBE2C","ubiquitin conjugating enzyme E2 C","11065","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC16","anaphase promoting complex subunit 16","119504","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDC26","cell division cycle 26","246184","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC15","anaphase promoting complex subunit 15","25906","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"UBE2S","ubiquitin conjugating enzyme E2 S","27338","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC2","anaphase promoting complex subunit 2","29882","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC4","anaphase promoting complex subunit 4","29945","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"FZR1","fizzy and cell division cycle 20 related 1","51343","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC5","anaphase promoting complex subunit 5","51433","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC11","anaphase promoting complex subunit 11","51529","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"ANAPC1","anaphase promoting complex subunit 1","64682","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"SKP2","S-phase kinase associated protein 2","6502","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"UBE2D1","ubiquitin conjugating enzyme E2 D1","7321","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"UBE2E1","ubiquitin conjugating enzyme E2 E1","7324","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDC23","cell division cycle 23","8697","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDC16","cell division cycle 16","8881","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"CDC27","cell division cycle 27","996","R-HSA-9687136","Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects","Reactome_Pathways","cancer"
"TFG","trafficking from ER to golgi regulator","10342","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"CEBPB","CCAAT enhancer binding protein beta","1051","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"FRS3","fibroblast growth factor receptor substrate 3","10817","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"CLTC","clathrin heavy chain","1213","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"DCTN1","dynactin subunit 1","1639","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"EEF1G","eukaryotic translation elongation factor 1 gamma","1937","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"SEC31A","SEC31 homolog A, COPII coat complex component","22872","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"FN1","fibronectin 1","2335","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"ALK","ALK receptor tyrosine kinase","238","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"EML4","EMAP like 4","27436","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"HIP1","huntingtin interacting protein 1","3092","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","3726","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"KIF5B","kinesin family member 5B","3799","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"KLC1","kinesin light chain 1","3831","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"LMO7","LIM domain 7","4008","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"MECP2","methyl-CpG binding protein 2","4204","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"MSN","moesin","4478","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"MYH9","myosin heavy chain 9","4627","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","471","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"NPM1","nucleophosmin 1","4869","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"ZC3HC1","zinc finger C3HC-type containing 1","51530","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"BCL11A","BCL11 transcription factor A","53335","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B","5495","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","5573","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"MAPK1","mitogen-activated protein kinase 1","5594","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"MAPK3","mitogen-activated protein kinase 3","5595","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"BIRC6","baculoviral IAP repeat containing 6","57448","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"RNF213","ring finger protein 213","57674","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"RANBP2","RAN binding protein 2","5903","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"BCL2A1","BCL2 related protein A1","597","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"RPS6","ribosomal protein S6","6194","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"RRBP1","ribosome binding protein 1","6238","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"STAT3","signal transducer and activator of transcription 3","6774","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"STAT5A","signal transducer and activator of transcription 5A","6776","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"TPM3","tropomyosin 3","7170","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"TPM4","tropomyosin 4","7171","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"TPR","translocated promoter region, nuclear basket protein","7175","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"VCL","vinculin","7414","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"WDCP","WD repeat and coiled coil containing","80304","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"CARS1","cysteinyl-tRNA synthetase 1","833","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"PPFIBP1","PPFIA binding protein 1","8496","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"SQSTM1","sequestosome 1","8878","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3","9451","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"GCC2","GRIP and coiled-coil domain containing 2","9648","R-HSA-9700206","Homo sapiens: Signaling by ALK in cancer","Reactome_Pathways","cancer"
"TP53","tumor protein p53","7157","R-HSA-9723905","Homo sapiens: Loss of function of TP53 in cancer due to loss of tetramerization ability","Reactome_Pathways","cancer"
