"PMID","Title","Journal","Year"
"26519468","ccmGDB: a database for cancer cell metabolism genes.","Nucleic acids research","2016"
"33419800","Genomic Sequencing of Cancer-related Genes in Sinonasal Squamous Cell Carcinoma and Coexisting Inverted Papilloma.","Anticancer research","2021"
"17134962","Finding genes that underlie cancer using genetic tools.","Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico","2006"
"35099519","GenomeTornadoPlot: a novel R package for CNV visualization and focality analysis.","Bioinformatics (Oxford, England)","2022"
"34302033","Genomic alterations and possible druggable mutations in carcinoma of unknown primary (CUP).","Scientific reports","2021"
"21115419","[Gene polymorphisms].","Bulletin du cancer","2010"
"16438707","Comparative analysis of cancer genes in the human and chimpanzee genomes.","BMC genomics","2006"
"25232094","Human germline and pan-cancer variomes and their distinct functional profiles.","Nucleic acids research","2014"
"21370076","Database resources for proteomics-based analysis of cancer.","Methods in molecular biology (Clifton, N.J.)","2011"
"28147217","CCG: an integrative resource of cancer protein-coding genes and long noncoding RNAs.","Discovery medicine","2016"
"32573269","Multi-omics analysis to identify driving factors in colorectal cancer.","Epigenomics","2020"
"30864654","Haplotype-resolved and integrated genome analysis of the cancer cell line HepG2.","Nucleic acids research","2019"
"32124310","Ensemble-Based Somatic Mutation Calling in Cancer Genomes.","Methods in molecular biology (Clifton, N.J.)","2020"
"30912334","Genomic Characterization of Differentiated Thyroid Carcinoma.","Endocrinology and metabolism (Seoul, Korea)","2019"
"23265383","The mitochondrial and autosomal mutation landscapes of prostate cancer.","European urology","2013"
"23700467","Targeted sequencing of cancer-related genes in colorectal cancer using next-generation sequencing.","PloS one","2013"
"31729402","Identification of candidate cancer drivers by integrative Epi-DNA and Gene Expression (iEDGE) data analysis.","Scientific reports","2019"
"19918804","Our changing view of the genomic landscape of cancer.","The Journal of pathology","2010"
"26796307","Mutations of Chromatin Structure Regulating Genes in Human Malignancies.","Current protein & peptide science","2016"
"35579340","PersonaDrive: a method for the identification and prioritization of personalized cancer drivers.","Bioinformatics (Oxford, England)","2022"
"27453575","Integrative Functional Genomics Implicates EPB41 Dysregulation in Hepatocellular Carcinoma Risk.","American journal of human genetics","2016"
"36433963","Genomic disparities between cancers in adolescent and young adults and in older adults.","Nature communications","2022"
"23038766","Genetic basis of kidney cancer: role of genomics for the development of disease-based therapeutics.","Genome research","2012"
"34997044","Novel ratio-metric features enable the identification of new driver genes across cancer types.","Scientific reports","2022"
"33731882","A survey of cancer genome signatures identifies genes connected to distinct chromosomal instability phenotypes.","The pharmacogenomics journal","2021"
"35180847","The genetic landscape of pancreatic head ductal adenocarcinoma in China and prognosis stratification.","BMC cancer","2022"
"31774481","A comparative study of multi-omics integration tools for cancer driver gene identification and tumour subtyping.","Briefings in bioinformatics","2020"
"33638948","Integrative analysis of genomic, epigenomic and transcriptomic data identified molecular subtypes of esophageal carcinoma.","Aging","2021"
"20393554","International network of cancer genome projects.","Nature","2010"
"33117405","The Genome in a Three-Dimensional Context: Deciphering the Contribution of Noncoding Mutations at Enhancers to Blood Cancer.","Frontiers in immunology","2020"
"35702826","Prognostic features and comprehensive genomic analysis of NF1 mutations in EGFR mutant lung cancer patients.","Cancer medicine","2023"
"9114284","Molecular epidemiology in environmental health: the potential of tumor suppressor gene p53 as a biomarker.","Environmental health perspectives","1997"
"20590430","Profiling the cancer genome.","Annual review of genomics and human genetics","2010"
"33309969","KatzDriver: A network based method to cancer causal genes discovery in gene regulatory network.","Bio Systems","2021"
"35396271","Contribution of large genomic rearrangements in PALB2 to familial breast cancer: implications for genetic testing.","Journal of medical genetics","2023"
"28757263","Genomic and Epigenomic Aberrations in Esophageal Squamous Cell Carcinoma and Implications for Patients.","Gastroenterology","2018"
