"PMID","Title","Journal","Year"
"18063416","American founder mutation for attenuated familial adenomatous polyposis.","Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association","2008"
"18679828","Evidence for an ancient BRCA1 mutation in breast cancer patients of Yoruban ancestry.","Familial cancer","2009"
"26683094","Network-Based Integration of Disparate Omic Data To Identify ""Silent Players"" in Cancer.","PLoS computational biology","2015"
"24449244","Cancer genomics and inherited risk.","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","2014"
"26419725","The complexity of epigenetic diseases.","The Journal of pathology","2016"
"26208496","Massive interstitial copy-neutral loss-of-heterozygosity as evidence for cancer being a disease of the DNA-damage response.","BMC medical genomics","2015"
"30728399","Comparison of TCGA and GENIE genomic datasets for the detection of clinically actionable alterations in breast cancer.","Scientific reports","2019"
"28039579","Discordance of Somatic Mutations Between Asian and Caucasian Patient Populations with Gastric Cancer.","Molecular diagnosis & therapy","2017"
"24433356","The genomic landscape of retinoblastoma: a review.","Clinical & experimental ophthalmology","2014"
"31395065","Targeted genomic profiling identifies frequent deleterious mutations in FAT4 and TP53 genes in HBV-associated hepatocellular carcinoma.","BMC cancer","2019"
"31345234","Elevated neoantigen levels in tumors with somatic mutations in the HLA-A, HLA-B, HLA-C and B2M genes.","BMC medical genomics","2019"
"27341628","Extensive Transcriptomic and Genomic Analysis Provides New Insights about Luminal Breast Cancers.","PloS one","2016"
"36804482","Management of patients with presumed germline pathogenic variant from tumor-only genomic sequencing: A retrospective analysis at a single facility.","Journal of human genetics","2023"
"31115714","A Novel Method for Identifying the Potential Cancer Driver Genes Based on Molecular Data Integration.","Biochemical genetics","2020"
"23817046","From human genome to cancer genome: the first decade.","Genome research","2013"
"22065914","Polymorphisms in apoptosis-related genes and TP53 mutations in non-small cell lung cancer.","Journal of Korean medical science","2011"
"23718799","Integrated analysis of recurrent properties of cancer genes to identify novel drivers.","Genome biology","2013"
"24467842","Significant overlap between human genome-wide association-study nominated breast cancer risk alleles and rat mammary cancer susceptibility loci.","Breast cancer research : BCR","2014"
"31253832","Label propagation defines signaling networks associated with recurrently mutated cancer genes.","Scientific reports","2019"
"32920123","Integrative genomics and pathway analysis identified prevalent FA-BRCA pathway alterations in arsenic-associated urinary bladder carcinoma: Chronic arsenic accumulation in cancer tissues hampers the FA-BRCA pathway.","Genomics","2020"
"10101803","Clinical implications of p53: effect on prognosis, tumor progression and chemotherapy response.","Seminars in cancer biology","1998"
"22665440","Integrative functional genomics identifies an enhancer looping to the SOX9 gene disrupted by the 17q24.3 prostate cancer risk locus.","Genome research","2012"
"23884480","OncodriveCLUST: exploiting the positional clustering of somatic mutations to identify cancer genes.","Bioinformatics (Oxford, England)","2013"
"23925245","The haplotype-resolved genome and epigenome of the aneuploid HeLa cancer cell line.","Nature","2013"
"32239503","Understanding oncogenicity of cancer driver genes and mutations in the cancer genomics era.","FEBS letters","2020"
"23158542","Genomic profiling of rectal adenoma and carcinoma by array-based comparative genomic hybridization.","BMC medical genomics","2012"
"21875255","Genomics and pharmacogenomics of breast cancer: current knowledge and trends.","Asian Pacific journal of cancer prevention : APJCP","2011"
"20025072","Intracisternal A particle genes: Distribution in the mouse genome, active subtypes, and potential roles as species-specific mediators of susceptibility to cancer.","Molecular carcinogenesis","2010"
"17171680","Targets of genome copy number reduction in primary breast cancers identified by integrative genomics.","Genes, chromosomes & cancer","2007"
"25256751","Discrepancies in cancer genomic sequencing highlight opportunities for driver mutation discovery.","Cancer research","2014"
"29364829","The Integrative Method Based on the Module-Network for Identifying Driver Genes in Cancer Subtypes.","Molecules (Basel, Switzerland)","2018"
"22880004","Mouse p53-deficient cancer models as platforms for obtaining genomic predictors of human cancer clinical outcomes.","PloS one","2012"
"28195176","The non-coding variant rs1800734 enhances DCLK3 expression through long-range interaction and promotes colorectal cancer progression.","Nature communications","2017"
"21169372","Identifying cancer driver genes in tumor genome sequencing studies.","Bioinformatics (Oxford, England)","2011"
"10567493","The impact of molecular genetic analysis of the VHL gene in patients with haemangioblastomas of the central nervous system.","Journal of neurology, neurosurgery, and psychiatry","1999"
"31509718","When Should Tumor Genomic Profiling Prompt Consideration of Germline Testing?","Journal of oncology practice","2019"
"24312913","A comprehensive focus on global spectrum of BRCA1 and BRCA2 mutations in breast cancer.","BioMed research international","2013"
"16804532","Statistical false positive or true disease pathway?","Nature genetics","2006"
"23345608","DNA methylation alterations exhibit intraindividual stability and interindividual heterogeneity in prostate cancer metastases.","Science translational medicine","2013"
"31684858","An immunoevasive strategy through clinically-relevant pan-cancer genomic and transcriptomic alterations of JAK-STAT signaling components.","Molecular medicine (Cambridge, Mass.)","2019"
"8646682","Molecular genetic evidence of the occurrence of breast cancer as an integral tumor in patients with the hereditary nonpolyposis colorectal carcinoma syndrome.","Cancer","1996"
"30384854","ALPHLARD: a Bayesian method for analyzing HLA genes from whole genome sequence data.","BMC genomics","2018"
"23091298","Targeted genomic sequencing of pediatric Burkitt lymphoma identifies recurrent alterations in antiapoptotic and chromatin-remodeling genes.","Blood","2012"
"33863366","A verified genomic reference sample for assessing performance of cancer panels detecting small variants of low allele frequency.","Genome biology","2021"
"25378318","DBTSS as an integrative platform for transcriptome, epigenome and genome sequence variation data.","Nucleic acids research","2015"
"21389108","A bioinformatics workflow for variant peptide detection in shotgun proteomics.","Molecular & cellular proteomics : MCP","2011"
"37291246","Tumour mutations in long noncoding RNAs enhance cell fitness.","Nature communications","2023"
"39147986","Integrative single-cell analysis of human colorectal cancer reveals patient stratification with distinct immune evasion mechanisms.","Nature cancer","2024"
"35501392","Spatially informed cell-type deconvolution for spatial transcriptomics.","Nature biotechnology","2022"
"39266564","Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.","Nature communications","2024"
"39779846","Molecular and cellular dynamics of the developing human neocortex.","Nature","2025"
"31099622","Molecular Testing in Breast Cancer.","American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting","2019"
"23929110","Single-cell semiconductor sequencing.","Methods in molecular biology (Clifton, N.J.)","2013"
"23178448","Genomic sequencing in cancer.","Cancer letters","2013"
"39980637","Advancements in single-cell RNA sequencing and spatial transcriptomics: transforming biomedical research.","Acta biochimica Polonica","2025"
"35812248","Genome-Wide Association and Transcriptome-Wide Association Studies Identify Novel Susceptibility Genes Contributing to Colorectal Cancer.","Journal of immunology research","2022"
"22457049","Genome-wide analysis of DNA methylation identifies novel cancer-related genes in hepatocellular carcinoma.","Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine","2012"
"40447568","Multi-tissue expression and splicing data prioritise anatomical subsite- and sex-specific colorectal cancer susceptibility genes.","Nature communications","2025"
"25581428","Genome-wide profiling of HPV integration in cervical cancer identifies clustered genomic hot spots and a potential microhomology-mediated integration mechanism.","Nature genetics","2015"
"34118759","Affecting RNA biology genome-wide by binding small molecules and chemically induced proximity.","Current opinion in chemical biology","2021"
"39137781","Transcriptome- and proteome-wide association studies identify genes associated with renal cell carcinoma.","American journal of human genetics","2024"
"22941188","Integrative genome analyses identify key somatic driver mutations of small-cell lung cancer.","Nature genetics","2012"
"32929226","Single-cell transcriptomics in cancer: computational challenges and opportunities.","Experimental & molecular medicine","2020"
"37101120","Priors, population sizes, and power in genome-wide hypothesis tests.","BMC bioinformatics","2023"
"38878676","Identifying proteomic risk factors for overall, aggressive, and early onset prostate cancer using Mendelian Randomisation and tumour spatial transcriptomics.","EBioMedicine","2024"
"34263978","Integrative genome-wide analyses reveal the transcriptional aberrations in Japanese esophageal squamous cell carcinoma.","Cancer science","2021"
"39067134","A susceptibility gene signature for ERBB2-driven mammary tumour development and metastasis in collaborative cross mice.","EBioMedicine","2024"
"35414113","Genome-wide and transcriptome-wide association studies of mammographic density phenotypes reveal novel loci.","Breast cancer research : BCR","2022"
"39324133","Single-cell RNA sequencing reveals the communications between tumor microenvironment components and tumor metastasis in osteosarcoma.","Frontiers in immunology","2024"
"40895540","eQTL and multi-omics integration reveal PPIH as a prognostic and immunotherapeutic biomarker.","Frontiers in immunology","2025"
"30896887","Transcriptome‑wide piRNA profiling in human gastric cancer.","Oncology reports","2019"
"40038097","Exploring druggable targets and inflammation-mediated pathways in cancer: a Mendelian randomization analysis integrating transcriptomic and proteomic data.","Inflammation research : official journal of the European Histamine Research Society ... [et al.]","2025"
"32911025","Integrative, genome-wide association study identifies chemicals associated with common women's malignancies.","Genomics","2020"
"26457012","Challenges of deciphering gastric cancer heterogeneity.","World journal of gastroenterology","2015"
"40059124","Integrative genome-wide aberrant DNA methylation and transcriptome analysis identifies diagnostic markers for colorectal cancer.","Archives of toxicology","2025"
"39002386","Transcriptome-wide association study and Mendelian randomization in pancreatic cancer identifies susceptibility genes and causal relationships with type 2 diabetes and venous thromboembolism.","EBioMedicine","2024"
"35725412","Contribution and clinical relevance of germline variation to the cancer transcriptome.","BMC cancer","2022"
"29536451","Data Analysis in Single-Cell Transcriptome Sequencing.","Methods in molecular biology (Clifton, N.J.)","2018"
"40424666","Integrating genetics and transcriptomics to decipher susceptibility genes for risk stratification of gastric cancer and effect modification of Helicobacter pylori treatment.","EBioMedicine","2025"
"27442339","Single-cell RNA-sequencing: The future of genome biology is now.","RNA biology","2017"
"29018868","Differential gene regulatory networks in development and disease.","Cellular and molecular life sciences : CMLS","2018"
"31174203","Combined analysis of keratinocyte cancers identifies novel genome-wide loci.","Human molecular genetics","2019"
"40129067","Identification of RCC2 as a Risk Gene Associated With Basal Cell Carcinoma and Experimental Validation.","Experimental dermatology","2025"
"41168822","Genome-wide association, single-cell, and spatial transcriptomics analyses reveal the role of the STK24-expressing positive cells in LUAD progression and the tumor microenvironment, identifying STK24 as a potential therapeutic target.","Journal of translational medicine","2025"
"28122328","Genome-wide screen identifies a novel prognostic signature for breast cancer survival.","Oncotarget","2017"
"25187986","Nightshift work and genome-wide DNA methylation.","Chronobiology international","2015"
"34238352","High-grade serous tubo-ovarian cancer refined with single-cell RNA sequencing: specific cell subtypes influence survival and determine molecular subtype classification.","Genome medicine","2021"
"41067362","Comprehensive multi-omics analysis identifies transferrin receptor as a therapeutic target in esophageal cancer.","International journal of biological macromolecules","2025"
"25798919","Genome-wide transcript profiling reveals novel breast cancer-associated intronic sense RNAs.","PloS one","2015"
"26110572","Gene expression profiling signatures for the diagnosis and prevention of oral cavity carcinogenesis-genome-wide analysis using RNA-seq technology.","Oncotarget","2015"
"36875988","Integration of single-cell RNA sequencing and spatial transcriptomics to reveal the glioblastoma heterogeneity.","F1000Research","2022"
"40175565","Identification of potential shared gene signatures between periodontitis and breast cancer by integrating bulk RNA-seq and scRNA-seq data.","Scientific reports","2025"
"26950096","Gene regulatory mechanisms underpinning prostate cancer susceptibility.","Nature genetics","2016"
"26382709","Mutations in the noncoding genome.","Current opinion in pediatrics","2015"
"40755754","Exploring of bladder cancer immune-related genes and potential therapeutic targets based on transcriptomic data and Mendelian randomization analysis.","Frontiers in immunology","2025"
"20847746","Advances in understanding cancer genomes through second-generation sequencing.","Nature reviews. Genetics","2010"
"37592093","Integrative analysis of GWAS and transcriptomics data reveal key genes for non-small lung cancer.","Medical oncology (Northwood, London, England)","2023"
"40067823","Protocol for single-cell RNA sequencing and spatial transcriptomics of bladder Ewing sarcoma.","STAR protocols","2025"
"33258187","A genome-wide study of the relationship between chromosomal abnormalities and gene expression in colorectal tumors.","Genes, chromosomes & cancer","2021"
"28886127","Genome-wide miRNA response to anacardic acid in breast cancer cells.","PloS one","2017"
"34774008","Tumor-immune profiling of CT-26 and Colon 26 syngeneic mouse models reveals mechanism of anti-PD-1 response.","BMC cancer","2021"
"37542274","Mendelian randomization and transcriptomic analysis reveal an inverse causal relationship between Alzheimer's disease and cancer.","Journal of translational medicine","2023"
"26683690","Genome Wide Methylome Alterations in Lung Cancer.","PloS one","2015"
"26215192","Prognostic and Predictive Biomarkers in Colorectal Cancer: Implications for the Clinical Surgeon.","Annals of surgical oncology","2015"
"22930530","Gene network analysis leads to functional validation of pathways linked to cancer cell growth and survival.","Biotechnology journal","2012"
"33142748","Genome-Wide Analysis of Prognostic Alternative Splicing Signature and Splicing Factors in Lung Adenocarcinoma.","Genes","2020"
"38287261","Full-length isoform concatenation sequencing to resolve cancer transcriptome complexity.","BMC genomics","2024"
"41540004","Mixed-model and transcriptome-wide association analyses identify transcription factors and genes associated with colorectal cancer susceptibility.","Nature communications","2026"
"26906743","The first decade of estrogen receptor cistromics in breast cancer.","The Journal of endocrinology","2016"
"31619233","Genome-wide discovery and characterization of long noncoding RNAs in patients with multiple myeloma.","BMC medical genomics","2019"
"35380614","SPCS: a spatial and pattern combined smoothing method for spatial transcriptomic expression.","Briefings in bioinformatics","2022"
"30334361","Transcriptome-wide association study identifies multiple genes and pathways associated with pancreatic cancer.","Cancer medicine","2018"
"40274661","Comprehensive analysis of breast cancer oxidative stress related gene signature: a combination of bulk and single-cell RNA sequencing analysis.","Mammalian genome : official journal of the International Mammalian Genome Society","2025"
"41415280","Single-cell RNA sequencing reveals heterogeneity among AT2 epithelial cells in the lung adenocarcinoma microenvironment.","Frontiers in immunology","2025"
"25913416","Genome-wide analysis of alternative transcripts in human breast cancer.","Breast cancer research and treatment","2015"
"31352060","Genome-wide analysis of multi-view data of miRNA-seq to identify miRNA biomarkers for stomach cancer.","Journal of biomedical informatics","2019"
"40936758","Integrative analyses of single-cell and bulk RNA sequencing to construct the tumor-associated macrophage-related prognostic signature in lung adenocarcinoma.","PeerJ","2025"
"39470723","LnCeCell 2.0: an updated resource for lncRNA-associated ceRNA networks and web tools based on single-cell and spatial transcriptomics sequencing data.","Nucleic acids research","2025"
"33135729","Meta-analysis based gene expression profiling reveals functional genes in ovarian cancer.","Bioscience reports","2020"
"38502355","Genome-wide analyses reveal the regulatory roles of DNA methylation-regulated alternative promoter transcripts in breast cancer.","Human genetics","2024"
"38409266","A distinct class of pan-cancer susceptibility genes revealed by an alternative polyadenylation transcriptome-wide association study.","Nature communications","2024"
"34407065","Genome-Wide Profiling of Alternative Splicing Signatures Associated with Prognosis and Immune Microenvironment of Hepatocellular Carcinoma.","Medical science monitor : international medical journal of experimental and clinical research","2021"
"31894486","MetaDE-Based Analysis of circRNA Expression Profiles Involved in Gastric Cancer.","Digestive diseases and sciences","2020"
"20528234","DNA amplifications in breast cancer: genotypic-phenotypic correlations.","Future oncology (London, England)","2010"
"41270069","Multi-omics analysis indicates an association between TAPBP and prostate cancer.","PloS one","2025"
"28334074","Genome-wide analysis reveals that exon methylation facilitates its selective usage in the human transcriptome.","Briefings in bioinformatics","2018"
"28362817","Cis-eQTL-based trans-ethnic meta-analysis reveals novel genes associated with breast cancer risk.","PLoS genetics","2017"
"33595913","Association between sex hormones regulation-related SNP rs12233719 and lung cancer risk among never-smoking Chinese women.","Cancer medicine","2021"
"31790455","HeLa-CCL2 cell heterogeneity studied by single-cell DNA and RNA sequencing.","PloS one","2019"
"34341073","PAX9 Determines Epigenetic State Transition and Cell Fate in Cancer.","Cancer research","2021"
"39680087","A transcriptome-wide association study integrating multi-omics bioinformatics and Mendelian randomization reveals the prognostic value of ADAMDEC1 in colon cancer.","Archives of toxicology","2025"
"26680018","Racial differences in genome-wide methylation profiling and gene expression in breast tissues from healthy women.","Epigenetics","2015"
"30470588","Genome-wide isoform-level analysis reveals tumor-specific isoforms for lung adenocarcinoma diagnosis and prognosis.","Cancer genetics","2019"
"30446580","Whole-genome and transcriptome profiling of a metastatic thyroid-like follicular renal cell carcinoma.","Cold Spring Harbor molecular case studies","2018"
"25113377","Transcriptome sequencing and genome-wide association analyses reveal lysosomal function and actin cytoskeleton remodeling in schizophrenia and bipolar disorder.","Molecular psychiatry","2015"
"41006377","Integrative analysis of molecular mechanisms in prostate cancer via single-cell RNA sequencing and weighted gene co-expression network analysis.","Scientific reports","2025"
"41373777","Identification of Colorectal Cancer-Related RNA Markers from Whole Blood Using Integrated Bioinformatics Analysis.","International journal of molecular sciences","2025"
"27605446","WOMEN IN CANCER THEMATIC REVIEW: Diverse functions of DNA methylation: implications for prostate cancer and beyond.","Endocrine-related cancer","2016"
"33214551","Proteomic profiling and genome-wide mapping of O-GlcNAc chromatin-associated proteins reveal an O-GlcNAc-regulated genotoxic stress response.","Nature communications","2020"
"40429780","Genetic, Transcriptomic, and Epigenomic Insights into Sjögren's Disease: An Integrative Network Investigation and Immune Diseases Comparison.","International journal of molecular sciences","2025"
"41310897","Integrative multi-omics and single-cell transcriptomics reveal ARHGEF12 driving chemoresistance in bladder cancer.","Hereditas","2025"
"25079323","Putative cis-regulatory drivers in colorectal cancer.","Nature","2014"
"25539728","Genome-wide identification of FoxO-dependent gene networks in skeletal muscle during C26 cancer cachexia.","BMC cancer","2014"
"27338266","Transcriptome sequencing uncovers a three-long noncoding RNA signature in predicting breast cancer survival.","Scientific reports","2016"
"29266682","Profile of common prostate cancer risk variants in an unscreened Romanian population.","Journal of cellular and molecular medicine","2018"
"22664866","Genome-wide screening for methylation-silenced genes in colorectal cancer.","International journal of oncology","2012"
"26315111","A genome-wide assessment of rare copy number variants in colorectal cancer.","Oncotarget","2015"
"22068331","Deep proteome and transcriptome mapping of a human cancer cell line.","Molecular systems biology","2011"
"34965383","Functional analysis of the 1p34.3 risk locus implicates GNL2 in high-grade serous ovarian cancer.","American journal of human genetics","2022"
"37632791","Novel insights into genetic susceptibility for colorectal cancer from transcriptome-wide association and functional investigation.","Journal of the National Cancer Institute","2024"
"21267768","The power of NGS technologies to delineate the genome organization in cancer: from mutations to structural variations and epigenetic alterations.","Cancer metastasis reviews","2011"
"40205015","Transcriptome-wide association study of alternative polyadenylation identifies susceptibility genes in non-small cell lung cancer.","Oncogene","2025"
"23226102","Long-range transcriptome sequencing reveals cancer cell growth regulatory chimeric mRNA.","Neoplasia (New York, N.Y.)","2012"
"41188790","Cross-tissue transcriptome-wide association studies identify genetic susceptibility genes for prostate cancer.","BMC cancer","2025"
"25362561","Pathway analysis of genome-wide association study and transcriptome data highlights new biological pathways in colorectal cancer.","Molecular genetics and genomics : MGG","2015"
"31782890","Comparative analysis of TTF-1 binding DNA regions in small-cell lung cancer and non-small-cell lung cancer.","Molecular oncology","2020"
"39623312","Expression quantitative trait loci influence DNA damage-induced apoptosis in cancer.","BMC genomics","2024"
"34293285","Cell-type-specific meQTLs extend melanoma GWAS annotation beyond eQTLs and inform melanocyte gene-regulatory mechanisms.","American journal of human genetics","2021"
"24423449","Suppression of GNAI2 message in ovarian cancer.","Journal of ovarian research","2014"
"22366784","Common variants at 11q12, 10q26 and 3p11.2 are associated with prostate cancer susceptibility in Japanese.","Nature genetics","2012"
"32986714","Multi-ethnic transcriptome-wide association study of prostate cancer.","PloS one","2020"
"30232418","Integrating genetic, transcriptional, and biological information provides insights into obesity.","International journal of obesity (2005)","2019"
"20359664","Molecular epidemiology and its current clinical use in cancer management.","The Lancet. Oncology","2010"
"33575838","Genome-wide transcriptome and translatome analyses reveal the role of protein extension and domestication in liver cancer oncogenesis.","Molecular genetics and genomics : MGG","2021"
"28177904","Genome-scale analysis identifies GJB2 and ERO1LB as prognosis markers in patients with pancreatic cancer.","Oncotarget","2017"
"38867230","Progress of single-cell RNA sequencing combined with spatial transcriptomics in tumour microenvironment and treatment of pancreatic cancer.","Journal of translational medicine","2024"
"36830591","Statistical Power Analysis for Designing Bulk, Single-Cell, and Spatial Transcriptomics Experiments: Review, Tutorial, and Perspectives.","Biomolecules","2023"
"25797072","Emerging technologies for studying DNA methylation for the molecular diagnosis of cancer.","Expert review of molecular diagnostics","2015"
"27367190","Pathway analysis of expression-related SNPs on genome-wide association study of basal cell carcinoma.","Oncotarget","2016"
"33410160","Approaches for the integration of big data in translational medicine: single-cell and computational methods.","Annals of the New York Academy of Sciences","2021"
"37164006","A joint transcriptome-wide association study across multiple tissues identifies candidate breast cancer susceptibility genes.","American journal of human genetics","2023"
"30274024","Genome-Wide Analysis of mRNA Expression Profiling Identified Lung Cancer-Related Gene in Xuanwei, China.","Clinical laboratory","2018"
"31235759","Genome-wide analyses of long non-coding RNA expression profiles and functional network analysis in esophageal squamous cell carcinoma.","Scientific reports","2019"
"39872525","Exploring potential therapeutic targets for small cell lung cancer based on transcriptomics combined with Mendelian randomization analysis.","Frontiers in immunology","2024"
"23172663","Genome-wide CpG island methylation analyses in non-small cell lung cancer patients.","Carcinogenesis","2013"
"35033028","Core promoter mutation contributes to abnormal gene expression in bladder cancer.","BMC cancer","2022"
"34839022","Gene expression profiles and pathway enrichment analysis to identification of differentially expressed gene and signaling pathways in epithelial ovarian cancer based on high-throughput RNA-seq data.","Genomics","2022"
"26642714","Genome-Wide Analysis of Long Noncoding RNA Expression Profiles in Human Xuanwei Lung Cancer.","Clinical laboratory","2015"
"39950845","Enhancer RNA Transcriptome-Wide Association Study Reveals a Distinctive Class of Pan-Cancer Susceptibility eRNAs.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","2025"
"32871102","eQTL Colocalization Analyses Identify NTN4 as a Candidate Breast Cancer Risk Gene.","American journal of human genetics","2020"
"20923297","Adrenocortical tumors: an integrated clinical, pathologic, and molecular approach at the University of Michigan.","Archives of pathology & laboratory medicine","2010"
"27604360","Analysis of the breast cancer methylome using formalin-fixed paraffin-embedded tumour.","Breast cancer research and treatment","2016"
"26972162","Differential network analysis reveals the genome-wide landscape of estrogen receptor modulation in hormonal cancers.","Scientific reports","2016"
"27165481","Genome-wide analysis of long noncoding RNA (lncRNA) expression in colorectal cancer tissues from patients with liver metastasis.","Cancer medicine","2016"
"27704213","Network analysis of mitonuclear GWAS reveals functional networks and tissue expression profiles of disease-associated genes.","Human genetics","2017"
"28198679","Detecting discordance enrichment among a series of two-sample genome-wide expression data sets.","BMC genomics","2017"
"28302063","Epigenetic and genetic alterations and their influence on gene regulation in chronic lymphocytic leukemia.","BMC genomics","2017"
"30942869","TranscriptAchilles: a genome-wide platform to predict isoform biomarkers of gene essentiality in cancer.","GigaScience","2019"
"25278450","Genome-wide DNA methylation analysis of lung carcinoma reveals one neuroendocrine and four adenocarcinoma epitypes associated with patient outcome.","Clinical cancer research : an official journal of the American Association for Cancer Research","2014"
"33186476","Multi-omics integration identifies a selective vulnerability of colorectal cancer subtypes to YM155.","International journal of cancer","2021"
"36116415","Gene signature and connectivity mapping to assist with drug prediction for pancreatic ductal adenocarcinoma.","Surgical oncology","2022"
"23171949","Genome and transcriptome sequencing in prospective metastatic triple-negative breast cancer uncovers therapeutic vulnerabilities.","Molecular cancer therapeutics","2013"
"21734013","Genome-wide profiling of chromatin signatures reveals epigenetic regulation of MicroRNA genes in colorectal cancer.","Cancer research","2011"
"28938489","Prognostic Classifier Based on Genome-Wide DNA Methylation Profiling in Well-Differentiated Thyroid Tumors.","The Journal of clinical endocrinology and metabolism","2017"
"20174472","Tumor transcriptome sequencing reveals allelic expression imbalances associated with copy number alterations.","PloS one","2010"
"41099493","A Transcriptome-Wide Association Study Identifies Candidate Susceptibility Loci and Genes for Lung Cancer Risk.","Cancer medicine","2025"
"25739977","Genome-wide DNA methylome analysis reveals epigenetically dysregulated non-coding RNAs in human breast cancer.","Scientific reports","2015"
"19652704","GWAS meets microarray: are the results of genome-wide association studies and gene-expression profiling consistent? Prostate cancer as an example.","PloS one","2009"
"34021172","GWAS of allometric body-shape indices in UK Biobank identifies loci suggesting associations with morphogenesis, organogenesis, adrenal cell renewal and cancer.","Scientific reports","2021"
"22539604","Association of the 15q25 and 5p15 lung cancer susceptibility regions with gene expression in lung tumor tissue.","Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology","2012"
"30797996","Multi-network approach to identify differentially methylated gene communities in cancer.","Gene","2019"
"25572802","A co-culture genome-wide RNAi screen with mammary epithelial cells reveals transmembrane signals required for growth and differentiation.","Breast cancer research : BCR","2015"
"19457610","Cancer-related transcriptional targets of the circadian gene NPAS2 identified by genome-wide ChIP-on-chip analysis.","Cancer letters","2009"
"30431131","Pathway analysis of a genome‑wide association study on a long non‑coding RNA expression profile in oral squamous cell carcinoma.","Oncology reports","2019"
"34675350","Multi-tissue transcriptome-wide association study identifies eight candidate genes and tissue-specific gene expression underlying endometrial cancer susceptibility.","Communications biology","2021"
"30135189","Gene Expression Integration into Pathway Modules Reveals a Pan-Cancer Metabolic Landscape.","Cancer research","2018"
"28436302","Gene set enrichment analysis: A genome-wide expression profile-based strategy for discovering functional microRNA-disease relationships.","The Journal of international medical research","2018"
"33334055","Identification of Novel Potential Genes Involved in Cancer by Integrated Comparative Analyses.","International journal of molecular sciences","2020"
"41231350","Multilevel Transcriptomic Association Analysis Reveals Key Genes and Potential Mechanisms in Endometrial, Ovarian, and Cervical Cancers.","Reproductive sciences (Thousand Oaks, Calif.)","2025"
"33094914","Screening and bioinformatics analysis of a ceRNA network based on the circular RNAs, miRNAs, and mRNAs in pan-cancer.","Cancer medicine","2020"
"28235956","Genomic complexity and targeted genes in anaplastic thyroid cancer cell lines.","Endocrine-related cancer","2017"
"26618344","Regulators of genetic risk of breast cancer identified by integrative network analysis.","Nature genetics","2016"
"29408647","Whole-exome mutational and transcriptional landscapes of combined hepatocellular cholangiocarcinoma and intrahepatic cholangiocarcinoma reveal molecular diversity.","Biochimica et biophysica acta. Molecular basis of disease","2018"
"37903058","A large-scale microRNA transcriptome-wide association study identifies two susceptibility microRNAs, miR-1307-5p and miR-192-3p, for colorectal cancer risk.","Human molecular genetics","2024"
"28986391","Altered hydroxymethylation is seen at regulatory regions in pancreatic cancer and regulates oncogenic pathways.","Genome research","2017"
"34160817","Bioinformatic Analysis of Circular RNA Expression.","Methods in molecular biology (Clifton, N.J.)","2021"
"39789109","Transcriptome-wide association study identifies genes associated with bladder cancer risk.","Scientific reports","2025"
"27599611","Genome-wide analyses of long noncoding RNA expression profiles correlated with radioresistance in nasopharyngeal carcinoma via next-generation deep sequencing.","BMC cancer","2016"
"28990076","Global transcriptome‑wide analysis of the function of GDDR in acute gastric lesions.","Molecular medicine reports","2017"
"27386569","Genomic agonism and phenotypic antagonism between estrogen and progesterone receptors in breast cancer.","Science advances","2016"
"22321013","Cross-analysis of gene and miRNA genome-wide expression profiles in human fibroblasts at different stages of transformation.","Omics : a journal of integrative biology","2012"
"22730461","Genetic and functional analyses implicate the NUDT11, HNF1B, and SLC22A3 genes in prostate cancer pathogenesis.","Proceedings of the National Academy of Sciences of the United States of America","2012"
"26411386","Genome wide discovery of long intergenic non-coding RNAs in Diamondback moth (Plutella xylostella) and their expression in insecticide resistant strains.","Scientific reports","2015"
"21705454","Platinum sensitivity-related germline polymorphism discovered via a cell-based approach and analysis of its association with outcome in ovarian cancer patients.","Clinical cancer research : an official journal of the American Association for Cancer Research","2011"
"39878408","Transcriptome-Wide Association Study Identified Novel Blood Tissue Gene Biomarkers for Prostate Cancer Risk.","The Prostate","2025"
"31718536","SNP eQTL status and eQTL density in the adjacent region of the SNP are associated with its statistical significance in GWA studies.","BMC genetics","2019"
"26178168","Genome-wide analysis of the oxyntic proliferative isthmus zone reveals ASPM as a possible gastric stem/progenitor cell marker over-expressed in cancer.","The Journal of pathology","2015"
"22980976","Genomic landscape of non-small cell lung cancer in smokers and never-smokers.","Cell","2012"
"30523707","Integrated comparison of the miRNAome and mRNAome in muscles of dermatomyositis and polymyositis reveals common and specific miRNA-mRNAs.","Epigenomics","2019"
"23196705","Genome-wide screen for aberrantly expressed miRNAs reveals miRNA profile signature in breast cancer.","Molecular biology reports","2013"
"23727079","Extracellular matrix transcriptome dynamics in hepatocellular carcinoma.","Matrix biology : journal of the International Society for Matrix Biology","2013"
"31450785","Mutant Huntingtin Affects Diabetes and Alzheimer's Markers in Human and Cell Models of Huntington's Disease.","Cells","2019"
"25900404","Evolving transcriptomic fingerprint based on genome-wide data as prognostic tools in prostate cancer.","Biology of the cell","2015"
