"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"endothelin receptor type B","1910",1,"19661472","migraine","PubMed+PubTator3"
"Endothelin-1","1906",1,"28753427","migraine","PubMed+PubTator3"
"ENDOV","284131",1,"37288313","migraine","PubMed+PubTator3"
"EPHA5","2044",1,"38867170","migraine","PubMed+PubTator3"
"epidermal growth factor","1950",1,"20038773","migraine","PubMed+PubTator3"
"ERalpha","24890",1,"24189132","migraine","PubMed+PubTator3"
"ERAP2","64167",1,"26105260","migraine","PubMed+PubTator3"
"ERK","24338",1,"24189132","migraine","PubMed+PubTator3"
"ESR2","2100",1,"27019440","migraine","PubMed+PubTator3"
"Esterase D","2098",1,"7553809","migraine","PubMed+PubTator3"
"esterase-D","2098",1,"7553809","migraine","PubMed+PubTator3"
"estrogen receptor 1","2099",1,"16504171","migraine","PubMed+PubTator3"
"Estrogen receptor alpha","2099",1,"16179580","migraine","PubMed+PubTator3"
"FAAH","29347",1,"24189132","migraine","PubMed+PubTator3"
"factor V Leiden","2153",1,"22664050","migraine","PubMed+PubTator3"
"factor XIII","2162",1,"11737010","migraine","PubMed+PubTator3"
"FARS2","10667",1,"35546551","migraine","PubMed+PubTator3"
"Fas Ligand","356",1,"17727731","migraine","PubMed+PubTator3"
"FasL","356",1,"17727731","migraine","PubMed+PubTator3"
"fatty acid amide hydrolase","29347",1,"24189132","migraine","PubMed+PubTator3"
"Fc receptor-like protein 4","83417",1,"37662610","migraine","PubMed+PubTator3"
"FCAR","2204",1,"39261750","migraine","PubMed+PubTator3"
"FECH","2235",1,"35115687","migraine","PubMed+PubTator3"
"FGF-23","8074",1,"39264754","migraine","PubMed+PubTator3"
"FGF1","25317",1,"40723814","migraine","PubMed+PubTator3"
"FGF23","8074",1,"39264754","migraine","PubMed+PubTator3"
"FGF6","2251",1,"30256423","migraine","PubMed+PubTator3"
"FGFR2","25022",1,"40723814","migraine","PubMed+PubTator3"
"FHL3","2275",1,"41029193","migraine","PubMed+PubTator3"
"FHM-2","477",1,"16157018","migraine","PubMed+PubTator3"
"fibrinogen","2244",1,"33795393","migraine","PubMed+PubTator3"
"Fibrinogen","2244",1,"33795393","migraine","PubMed+PubTator3"
"fibroblast growth factor-23","8074",1,"39264754","migraine","PubMed+PubTator3"
"Fos","314322",1,"24321404","migraine","PubMed+PubTator3"
"FOS","2353",1,"32083545","migraine","PubMed+PubTator3"
"FSHR","2492",1,"27019440","migraine","PubMed+PubTator3"
"FUT9","10690",1,"23793025","migraine","PubMed+PubTator3"
"FVIII","2157",1,"22664050","migraine","PubMed+PubTator3"
"FVL","2153",1,"22664050","migraine","PubMed+PubTator3"
"FXN","2395",1,"38867170","migraine","PubMed+PubTator3"
"G protein beta3","2784",1,"20652353","migraine","PubMed+PubTator3"
"G protein-coupled receptor","10663",1,"30266756","migraine","PubMed+PubTator3"
"g-protein beta 3","2784",1,"20213484","migraine","PubMed+PubTator3"
"GABA A receptors type epsilon","2564",1,"19087248","migraine","PubMed+PubTator3"
"Gabbr1","81657",1,"29723522","migraine","PubMed+PubTator3"
"GABRR1","2569",1,"28699326","migraine","PubMed+PubTator3"
"GABRR2","2570",1,"28699326","migraine","PubMed+PubTator3"
"GABRR3","200959",1,"28699326","migraine","PubMed+PubTator3"
"GADD45A","1647",1,"36739509","migraine","PubMed+PubTator3"
"gamma-glutamyl transferase","2678",1,"41088633","migraine","PubMed+PubTator3"
"GATM","2628",1,"32083545","migraine","PubMed+PubTator3"
"GBP2","2634",1,"26814133","migraine","PubMed+PubTator3"
"GC globulin","2638",1,"25147936","migraine","PubMed+PubTator3"
"GC Globulin","2638",1,"25147936","migraine","PubMed+PubTator3"
"GDAP1","54332",1,"36914876","migraine","PubMed+PubTator3"
"GFRA1","2674",1,"31842742","migraine","PubMed+PubTator3"
"GGT","2678",1,"41088633","migraine","PubMed+PubTator3"
"GINM1","116254",1,"41029193","migraine","PubMed+PubTator3"
"GluR1","2890",1,"20579352","migraine","PubMed+PubTator3"
"GluR4","2893",1,"20579352","migraine","PubMed+PubTator3"
"Glutathione S-transferase","373156",1,"12736537","migraine","PubMed+PubTator3"
"glutathione S-transferase (GST) P1","2950",1,"12736537","migraine","PubMed+PubTator3"
"glutathione S-transferase M1","2944",1,"10759887","migraine","PubMed+PubTator3"
"GNB3","2784",1,"20488209","migraine","PubMed+PubTator3"
"GPATCH4","54865",1,"41261954","migraine","PubMed+PubTator3"
"GPR30","171104",1,"24189132","migraine","PubMed+PubTator3"
"GPR39","2863",1,"31842742","migraine","PubMed+PubTator3"
"GPR58","9288",1,"15549560","migraine","PubMed+PubTator3"
"GREB1","9687",1,"35514537","migraine","PubMed+PubTator3"
"GRIA2","2891",1,"24512576","migraine","PubMed+PubTator3"
"GRIK4","2900",1,"12915447","migraine","PubMed+PubTator3"
"GRM7","2917",1,"22678113","migraine","PubMed+PubTator3"
"GSTA4","2941",1,"35546551","migraine","PubMed+PubTator3"
"GSTM2","2946",1,"41345547","migraine","PubMed+PubTator3"
"GSTM3","2947",1,"41345547","migraine","PubMed+PubTator3"
"GSTM4","2948",1,"39039470","migraine","PubMed+PubTator3"
"HAX1","10456",1,"41029193","migraine","PubMed+PubTator3"
"HBQ1","3049",1,"39261750","migraine","PubMed+PubTator3"
"HCRTR1","3061",1,"27191890","migraine","PubMed+PubTator3"
"HDAC9","9734",1,"35698589","migraine","PubMed+PubTator3"
"HDC","3067",1,"32083545","migraine","PubMed+PubTator3"
"hepatocyte growth factor","3082",1,"37938611","migraine","PubMed+PubTator3"
"HERNS","11277",1,"12525718","migraine","PubMed+PubTator3"
"Hes5","388585",1,"23333373","migraine","PubMed+PubTator3"
"HEY2","23493",1,"34635557","migraine","PubMed+PubTator3"
"HGF","3082",1,"37938611","migraine","PubMed+PubTator3"
"HIF-1alpha","3091",1,"40022282","migraine","PubMed+PubTator3"
"histamine H3 receptor","11255",1,"21376262","migraine","PubMed+PubTator3"
"HLA-B","3106",1,"33447900","migraine","PubMed+PubTator3"
"HLA-C","3107",1,"33447900","migraine","PubMed+PubTator3"
"HLA-DQA1","3117;3105",1,"36814110","migraine","PubMed+PubTator3"
"HLA-DRB1","3123;3105",1,"33447900","migraine","PubMed+PubTator3"
"HMG-CoA reductase","3156",1,"38802400","migraine","PubMed+PubTator3"
"HMOX2","3163",1,"35115687","migraine","PubMed+PubTator3"
"HORMAD2","150280",1,"41372126","migraine","PubMed+PubTator3"
"HOXA10","3206",1,"35514537","migraine","PubMed+PubTator3"
"HOXB3","3213",1,"41029193","migraine","PubMed+PubTator3"
"HP","3240",1,"40935254","migraine","PubMed+PubTator3"
"HPSE2","60495",1,"34972135","migraine","PubMed+PubTator3"
"hsa-let-7d","406886",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-106b","406900",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-122","406906",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-144-","406936",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-181a","406954",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-221","407006",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-25-","407014",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-29b-2","407025",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-326","442900",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-34a-","407040",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-424","494336",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-485","574436",1,"38755568","migraine","PubMed+PubTator3"
"hsa-mir-5010-","100847046",1,"37254524","migraine","PubMed+PubTator3"
"hsa-miR-532","693124",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-543","100126335",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-629","693214",1,"38755568","migraine","PubMed+PubTator3"
"hsa-miR-660","724030",1,"38755568","migraine","PubMed+PubTator3"
"HTR1a","3350",1,"23333373","migraine","PubMed+PubTator3"
"HTR1B","3351",1,"17563839","migraine","PubMed+PubTator3"
"HTR1F","3355",1,"35115687","migraine","PubMed+PubTator3"
"HTR2A","3356",1,"8933989","migraine","PubMed+PubTator3"
"HTR2B","3357",1,"19455600","migraine","PubMed+PubTator3"
"HTR2C","3358",1,"17901921","migraine","PubMed+PubTator3"
"HTR3C","170572",1,"41372126","migraine","PubMed+PubTator3"
"HTR7","3363",1,"22678113","migraine","PubMed+PubTator3"
"HTRA1","5654",1,"39196222","migraine","PubMed+PubTator3"
"HVCN1","84329",1,"38867170","migraine","PubMed+PubTator3"
"HYOU1","10525",1,"41288865","migraine","PubMed+PubTator3"
"hypoxia-inducible factor 1-alpha","3091",1,"40022282","migraine","PubMed+PubTator3"
"Hypoxia-Inducible Factor-1alpha","3091",1,"40022282","migraine","PubMed+PubTator3"
"IL- 1beta","3553",1,"31214186","migraine","PubMed+PubTator3"
"IL-15","3600",1,"39294737","migraine","PubMed+PubTator3"
"IL-15RA","3601",1,"39264754","migraine","PubMed+PubTator3"
"IL-18","3606",1,"39294737","migraine","PubMed+PubTator3"
"IL-18R1","8809",1,"39264754","migraine","PubMed+PubTator3"
"IL-1beta","3553",1,"31214186","migraine","PubMed+PubTator3"
"IL-2","3558",1,"37938611","migraine","PubMed+PubTator3"
"IL17","3605",1,"16378686","migraine","PubMed+PubTator3"
"Il1b","3553",1,"41465107","migraine","PubMed+PubTator3"
"IL9","3578",1,"19559392","migraine","PubMed+PubTator3"
"IMPDH2","3615",1,"39841246","migraine","PubMed+PubTator3"
"inducible nitric oxide synthase","4843",1,"11424980","migraine","PubMed+PubTator3"
"inducible NO synthase","4843",1,"22865486","migraine","PubMed+PubTator3"
"INHBB","3625",1,"26105260","migraine","PubMed+PubTator3"
"INPP5A","3632",1,"41526330","migraine","PubMed+PubTator3"
"INPP5B.","3633",1,"39578729","migraine","PubMed+PubTator3"
"insulin","3630",1,"36808568","migraine","PubMed+PubTator3"
"insulin-like growth factor 1","3479",1,"38867170","migraine","PubMed+PubTator3"
"Interleukin-2","3558",1,"37938611","migraine","PubMed+PubTator3"
"interleukin-4","3565",1,"39279254","migraine","PubMed+PubTator3"
"IP3 receptor","40664",1,"30080864","migraine","PubMed+PubTator3"
"IRX1","79192",1,"41420111","migraine","PubMed+PubTator3"
"ITGB5","3693",1,"32632093","migraine","PubMed+PubTator3"
"ITIH1","3697",1,"38898596","migraine","PubMed+PubTator3"
"K2P","51350",1,"20871611","migraine","PubMed+PubTator3"
"KCN J10","3766",1,"17727731","migraine","PubMed+PubTator3"
"KCN J9","3765",1,"17727731","migraine","PubMed+PubTator3"
"KCNB2","9312",1,"18676988","migraine","PubMed+PubTator3"
"KCNE2","9992",1,"18676988","migraine","PubMed+PubTator3"
"KCNJ1","3758",1,"12915447","migraine","PubMed+PubTator3"
"KCNJ5","3762",1,"12915447","migraine","PubMed+PubTator3"
"KCNK12","56660",1,"18676988","migraine","PubMed+PubTator3"
"KCNK2","3776",1,"18676988","migraine","PubMed+PubTator3"
"KCNQ3","3786",1,"18676988","migraine","PubMed+PubTator3"
"KCNS3","3790",1,"18676988","migraine","PubMed+PubTator3"
"KIAA0040","9674",1,"32632093","migraine","PubMed+PubTator3"
"KIAA0564","23078",1,"20528957","migraine","PubMed+PubTator3"
"KLHDC8B","200942",1,"40826382","migraine","PubMed+PubTator3"
"KTN1","3895",1,"37415806","migraine","PubMed+PubTator3"
"L3MBTL2","83746",1,"34273149","migraine","PubMed+PubTator3"
"LATS1","9113",1,"39261750","migraine","PubMed+PubTator3"
"LCT","3938",1,"26105260","migraine","PubMed+PubTator3"
"LDL receptor","3949",1,"12873747","migraine","PubMed+PubTator3"
"LDL receptor related protein 1","4035",1,"36939796","migraine","PubMed+PubTator3"
"LDL receptor-related protein 1","4035",1,"35454329","migraine","PubMed+PubTator3"
"LIMA1","51474",1,"34654805","migraine","PubMed+PubTator3"
"LOC102724945","102724945",1,"39505312","migraine","PubMed+PubTator3"
"low-density lipoprotein receptor","3949",1,"15546598","migraine","PubMed+PubTator3"
"Low-Density Lipoprotein Receptor","3949",1,"15546598","migraine","PubMed+PubTator3"
"low-density lipoprotein receptor-related protein 1","4035",1,"39355906","migraine","PubMed+PubTator3"
"LRP11","84918",1,"38898596","migraine","PubMed+PubTator3"
"LRP1B","53353",1,"26105260","migraine","PubMed+PubTator3"
"LRRC4C","57689",1,"39266962","migraine","PubMed+PubTator3"
"LRRK2","120892",1,"37884687","migraine","PubMed+PubTator3"
"LTA","4049",1,"17635597","migraine","PubMed+PubTator3"
"LY6G5C","80741",1,"41097341","migraine","PubMed+PubTator3"
"lymphotoxin alpha","4049",1,"12047333","migraine","PubMed+PubTator3"
"Mafk","7975",1,"40419944","migraine","PubMed+PubTator3"
"major histocompatibility complex","3107",1,"36631270","migraine","PubMed+PubTator3"
"MAML3","55534",1,"41420111","migraine","PubMed+PubTator3"
"MANBA","4126",1,"38898596","migraine","PubMed+PubTator3"
"MAO-A and -B","4128;4129",1,"15694196","migraine","PubMed+PubTator3"
"MAO-B","4129",1,"15694196","migraine","PubMed+PubTator3"
"MAPT","4137",1,"41315928","migraine","PubMed+PubTator3"
"matrix metallopeptidase 16","4325",1,"26231841","migraine","PubMed+PubTator3"
"matrix metalloproteinase 7","25335",1,"27706811","migraine","PubMed+PubTator3"
"MDK","4192",1,"39841246","migraine","PubMed+PubTator3"
"MECP2","4204",1,"39355906","migraine","PubMed+PubTator3"
"MEP1A","4224",1,"16378686","migraine","PubMed+PubTator3"
"MER","10461",1,"37851671","migraine","PubMed+PubTator3"
"methionine synthase reductase","4552",1,"22926161","migraine","PubMed+PubTator3"
"methyl CpG binding protein 2","4204",1,"39355906","migraine","PubMed+PubTator3"
"MGR1","192115",1,"14513409","migraine","PubMed+PubTator3"
"MICU1","10367",1,"41097341","migraine","PubMed+PubTator3"
"miR-134","406924",1,"39408819","migraine","PubMed+PubTator3"
"miR-146b","574447",1,"39408819","migraine","PubMed+PubTator3"
"miR-195","406971",1,"39408819","migraine","PubMed+PubTator3"
"miR-197","406974",1,"39408819","migraine","PubMed+PubTator3"
"miR-340","442908",1,"39408819","migraine","PubMed+PubTator3"
"miR-363-","574031",1,"38755568","migraine","PubMed+PubTator3"
"miR-375","494324",1,"39408819","migraine","PubMed+PubTator3"
"MLXIPL","51085",1,"34635557","migraine","PubMed+PubTator3"
"MMP-3","4314",1,"17381556","migraine","PubMed+PubTator3"
"MMP3","4314",1,"39261750","migraine","PubMed+PubTator3"
"Mmp7","4316",1,"27706811","migraine","PubMed+PubTator3"
"Monoamine oxidase A and B","4128;4129",1,"15694196","migraine","PubMed+PubTator3"
"Monoamine oxidases A and B","4128;4129",1,"15694196","migraine","PubMed+PubTator3"
"monocyte chemoattractant protein-1","6347",1,"39279254","migraine","PubMed+PubTator3"
"MPPED2","744",1,"35115687","migraine","PubMed+PubTator3"
"MRGPRE","116534",1,"38867170","migraine","PubMed+PubTator3"
"MRPL49P1","359748",1,"41067425","migraine","PubMed+PubTator3"
"MRVI1","10335",1,"39578729","migraine","PubMed+PubTator3"
"MT-TL1","4567",1,"41147997","migraine","PubMed+PubTator3"
"MTHFD1","4522",1,"25039261","migraine","PubMed+PubTator3"
"mTOR","2475",1,"32121467","migraine","PubMed+PubTator3"
"MTTA","4553",1,"16807713","migraine","PubMed+PubTator3"
"multidrug-resistance 1","5243",1,"16542858","migraine","PubMed+PubTator3"
"NAB2","4665",1,"40826382","migraine","PubMed+PubTator3"
"NADH: ubiquinone oxidoreductase subunit B6","297990",1,"35216232","migraine","PubMed+PubTator3"
"NaV1.1","6323",1,"26763045","migraine","PubMed+PubTator3"
"Nav1.8","29571",1,"24189132","migraine","PubMed+PubTator3"
"NCF2","4688",1,"41261954","migraine","PubMed+PubTator3"
"ND1","4535",1,"35903646","migraine","PubMed+PubTator3"
"ND2","4536",1,"35903646","migraine","PubMed+PubTator3"
"ND3","4537",1,"35903646","migraine","PubMed+PubTator3"
"ND4","4538",1,"35903646","migraine","PubMed+PubTator3"
"ND5","4540",1,"35903646","migraine","PubMed+PubTator3"
"NEIL1","79661",1,"37415806","migraine","PubMed+PubTator3"
"NEK4","6787",1,"37415806","migraine","PubMed+PubTator3"
"NELFCD","51497",1,"41029193","migraine","PubMed+PubTator3"
"nerve growth factor receptor","4804",1,"21448238","migraine","PubMed+PubTator3"
"neuromedin-U","10874",1,"30266756","migraine","PubMed+PubTator3"
"neuropilin 1","8829",1,"29671086","migraine","PubMed+PubTator3"
"NFIA","4774",1,"36814110","migraine","PubMed+PubTator3"
"NGFR","4804",1,"21448238","migraine","PubMed+PubTator3"
"Nicotinamide-N-methyltransferase","4837",1,"27726107","migraine","PubMed+PubTator3"
"Nicotinamide-N-Methyltransferase","4837",1,"27726107","migraine","PubMed+PubTator3"
"nitric oxide synthase-3","4846",1,"19661472","migraine","PubMed+PubTator3"
"NLGN1","22871",1,"41372126","migraine","PubMed+PubTator3"
"NLGN2","57555",1,"38867170","migraine","PubMed+PubTator3"
"NMNAT2","23057",1,"31104508","migraine","PubMed+PubTator3"
"NMU","10874",1,"30266756","migraine","PubMed+PubTator3"
"NMUR2","56923",1,"30266756","migraine","PubMed+PubTator3"
"nNOS","4842",1,"26283425","migraine","PubMed+PubTator3"
"NNT","23530",1,"37415806","migraine","PubMed+PubTator3"
"NO synthase","4843",1,"11424980","migraine","PubMed+PubTator3"
"NOS1","4842",1,"26283425","migraine","PubMed+PubTator3"
"Notch 3","4854",1,"20813781","migraine","PubMed+PubTator3"
"NOTCH4","4855",1,"36814110","migraine","PubMed+PubTator3"
"NPC1L1","29881",1,"38183343","migraine","PubMed+PubTator3"
"Nppb","25105",1,"27706811","migraine","PubMed+PubTator3"
"NRIP1","8204",1,"27019440","migraine","PubMed+PubTator3"
"NSDHL","50814",1,"22294494","migraine","PubMed+PubTator3"
"OCT1","6580",1,"26659468","migraine","PubMed+PubTator3"
"oncostatin-M","5008",1,"39279254","migraine","PubMed+PubTator3"
"OPA1","4976",1,"23387428","migraine","PubMed+PubTator3"
"OXR1","55074",1,"39266962","migraine","PubMed+PubTator3"
"oxytocin receptor","5021",1,"32968778","migraine","PubMed+PubTator3"
"P-glycoprotein","5243",1,"16542858","migraine","PubMed+PubTator3"
"p31.1","9315",1,"34972135","migraine","PubMed+PubTator3"
"PACAP","24166;116",1,"35216232","migraine","PubMed+PubTator3"
"PALMD","54873",1,"37884687","migraine","PubMed+PubTator3"
"PAM","5066",1,"41261954","migraine","PubMed+PubTator3"
"paraoxonase","5444",1,"21755523","migraine","PubMed+PubTator3"
"paraoxonase 1","5444",1,"20407783","migraine","PubMed+PubTator3"
"Paraoxonase-1","5444",1,"21755523","migraine","PubMed+PubTator3"
"PBRM1","55193",1,"34294844","migraine","PubMed+PubTator3"
"PBX2","5089",1,"36814110","migraine","PubMed+PubTator3"
"PC","5091",1,"22664050","migraine","PubMed+PubTator3"
"PCSK9","255738",1,"38183343","migraine","PubMed+PubTator3"
"PDCD1LG2","80380",1,"39261750","migraine","PubMed+PubTator3"
"PDCD6IP","10015",1,"33767277","migraine","PubMed+PubTator3"
"PDE4B","5142",1,"41345547","migraine","PubMed+PubTator3"
"PDGFB","5155",1,"35546551","migraine","PubMed+PubTator3"
"Pentraxin 3","5806",1,"40935254","migraine","PubMed+PubTator3"
"PFDN1","5201",1,"36739509","migraine","PubMed+PubTator3"
"PGC-1alpha","10891",1,"40802209","migraine","PubMed+PubTator3"
"PGCP","10404",1,"32503413","migraine","PubMed+PubTator3"
"PGR","5241",1,"17609999","migraine","PubMed+PubTator3"
"phosphatase and actin regulator 1","221692",1,"29883369","migraine","PubMed+PubTator3"
"phosphoglucomutase 1","5236",1,"7553809","migraine","PubMed+PubTator3"
"phospholipase Cbeta","31376",1,"30080864","migraine","PubMed+PubTator3"
"PIEZO1","9780",1,"36376028","migraine","PubMed+PubTator3"
"PiT-2","6575",1,"24969325","migraine","PubMed+PubTator3"
"Pituitary adenylate cyclase-activating polypeptide","24166",1,"35216232","migraine","PubMed+PubTator3"
"PLCbeta","31376",1,"30080864","migraine","PubMed+PubTator3"
"PLCG1","5335",1,"38898596","migraine","PubMed+PubTator3"
"PLEKHA1","59338",1,"36292730","migraine","PubMed+PubTator3"
"PNKD","25953",1,"33126486","migraine","PubMed+PubTator3"
"PNR","9038",1,"15549560","migraine","PubMed+PubTator3"
"pol-gamma","5428",1,"16987890","migraine","PubMed+PubTator3"
"POLG","5428",1,"16987890","migraine","PubMed+PubTator3"
"poly (ADP-ribose) polymerase 1","142",1,"38951977","migraine","PubMed+PubTator3"
"polymerase-gamma","5428",1,"16987890","migraine","PubMed+PubTator3"
"PON-1","5444",1,"21755523","migraine","PubMed+PubTator3"
"PON1","5444",1,"20407783","migraine","PubMed+PubTator3"
"PPH4","3777",1,"39039470","migraine","PubMed+PubTator3"
"PPP1CC","5501",1,"41097341","migraine","PubMed+PubTator3"
"PR/SET domain 16","63976",1,"35454329","migraine","PubMed+PubTator3"
"PRDM11","56981",1,"41233745","migraine","PubMed+PubTator3"
"PRKG1","5592",1,"39841246","migraine","PubMed+PubTator3"
"PROCR","10544",1,"39039470","migraine","PubMed+PubTator3"
"Progesterone receptor","5241",1,"25494303","migraine","PubMed+PubTator3"
"proinsulin","3630",1,"36808568","migraine","PubMed+PubTator3"
"prolactin","5617",1,"37662610","migraine","PubMed+PubTator3"
"proline-rich transmenbrane protein 2","112476",1,"25449067","migraine","PubMed+PubTator3"
"protein C","5624",1,"22664050","migraine","PubMed+PubTator3"
"prothrombin","2147",1,"12763173","migraine","PubMed+PubTator3"
"Prothrombin","2147",1,"12763173","migraine","PubMed+PubTator3"
"ps3","448990",1,"41465107","migraine","PubMed+PubTator3"
"PSMC3","5702",1,"41001447","migraine","PubMed+PubTator3"
"PTN","24924",1,"40723814","migraine","PubMed+PubTator3"
"PTX3","5806",1,"40935254","migraine","PubMed+PubTator3"
"R3HDML","140902",1,"41067425","migraine","PubMed+PubTator3"
"RANTES","6352",1,"25147936","migraine","PubMed+PubTator3"
"RBM20","282996",1,"41345547","migraine","PubMed+PubTator3"
"RDH16","8608",1,"40826382","migraine","PubMed+PubTator3"
"reactive oxygen species modulator 1","679572",1,"40747904","migraine","PubMed+PubTator3"
"REEP3","221035",1,"40826382","migraine","PubMed+PubTator3"
"RERE","473",1,"36739509","migraine","PubMed+PubTator3"
"RETN","56729",1,"31104508","migraine","PubMed+PubTator3"
"REV1","51455",1,"38840241","migraine","PubMed+PubTator3"
"REV3L","5980",1,"41097341","migraine","PubMed+PubTator3"
"RHAG","6005",1,"16378686","migraine","PubMed+PubTator3"
"RIMS1","22999",1,"41345547","migraine","PubMed+PubTator3"
"RND3,GCA","390;25801",1,"26105260","migraine","PubMed+PubTator3"
"RNF213","57674",1,"37288313","migraine","PubMed+PubTator3"
"Romo1","679572",1,"40747904","migraine","PubMed+PubTator3"
"RORalpha","6095",1,"36990725","migraine","PubMed+PubTator3"
"Rpl10","6134",1,"41465107","migraine","PubMed+PubTator3"
"Rpl14","9045",1,"41465107","migraine","PubMed+PubTator3"
"Rpl17","6139",1,"41465107","migraine","PubMed+PubTator3"
"Rpl22l1","200916",1,"41465107","migraine","PubMed+PubTator3"
"Rpl35","11224",1,"41465107","migraine","PubMed+PubTator3"
"Rps12","6206",1,"41465107","migraine","PubMed+PubTator3"
"Rps29","6235",1,"41465107","migraine","PubMed+PubTator3"
"Rps8","6202",1,"41465107","migraine","PubMed+PubTator3"
"RRP15","51018",1,"41345547","migraine","PubMed+PubTator3"
"RSPH6A","81492",1,"36739509","migraine","PubMed+PubTator3"
"RUFY2","55680",1,"37415806","migraine","PubMed+PubTator3"
"ryanodine receptor","49090",1,"30080864","migraine","PubMed+PubTator3"
"RyR","49090",1,"30080864","migraine","PubMed+PubTator3"
"S100a9","6280",1,"27706811","migraine","PubMed+PubTator3"
"SCN1A.","6323",1,"16866717","migraine","PubMed+PubTator3"
"SCN5A","6331",1,"18676988","migraine","PubMed+PubTator3"
"SDC4","24771",1,"40723814","migraine","PubMed+PubTator3"
"SDR9C7","121214",1,"36939796","migraine","PubMed+PubTator3"
"SEMA6C","10500",1,"41288865","migraine","PubMed+PubTator3"
"SEPHS2","22928",1,"40728933","migraine","PubMed+PubTator3"
"serine-racemase","63826",1,"27394076","migraine","PubMed+PubTator3"
"serotonin 5-HT2C receptor","3358",1,"9295094","migraine","PubMed+PubTator3"
"serotonin receptor 1B","3351",1,"19936617","migraine","PubMed+PubTator3"
"serotonin receptor 6","3362",1,"19936617","migraine","PubMed+PubTator3"
"Serotonin transporter","6532",1,"16732845","migraine","PubMed+PubTator3"
"SERPIN A6","866",1,"22013108","migraine","PubMed+PubTator3"
"SERPINA1","5265",1,"41288865","migraine","PubMed+PubTator3"
"SERPINA6","866",1,"22013108","migraine","PubMed+PubTator3"
"SERPINC1","462",1,"41261954","migraine","PubMed+PubTator3"
"Serpine1","5054",1,"41465107","migraine","PubMed+PubTator3"
"sex hormone-binding globulin","6462",1,"40207525","migraine","PubMed+PubTator3"
"SGTB","54557",1,"36739509","migraine","PubMed+PubTator3"
"SHBG","6462",1,"27019440","migraine","PubMed+PubTator3"
"Signal Transducer and Activator of Transcription 6","6778",1,"36939796","migraine","PubMed+PubTator3"
"SIRT5","23408",1,"39716036","migraine","PubMed+PubTator3"
"sirtuin-5","23408",1,"39716036","migraine","PubMed+PubTator3"
"SLC12A1","6557",1,"41261954","migraine","PubMed+PubTator3"
"SLC16A1","6566",1,"40468199","migraine","PubMed+PubTator3"
"SLC20A2","6575",1,"24969325","migraine","PubMed+PubTator3"
"SLC24A4","123041",1,"19153782","migraine","PubMed+PubTator3"
"SLC25A21","89874",1,"34294844","migraine","PubMed+PubTator3"
"SLC25A27","9481",1,"16378686","migraine","PubMed+PubTator3"
"SLC2A1","6513",1,"33126486","migraine","PubMed+PubTator3"
"SLC35G6","643664",1,"32121467","migraine","PubMed+PubTator3"
"SLC39A13","91252",1,"41001447","migraine","PubMed+PubTator3"
"SLC39A8","64116",1,"36376028","migraine","PubMed+PubTator3"
"SLC44A4","80736",1,"36292730","migraine","PubMed+PubTator3"
"SLC4A1","6521",1,"39039470","migraine","PubMed+PubTator3"
"SMG6","23293",1,"32632093","migraine","PubMed+PubTator3"
"SNAIL","6615",1,"39355906","migraine","PubMed+PubTator3"
"SNARE","100170220",1,"37380951","migraine","PubMed+PubTator3"
"SOD1","6647",1,"25295643","migraine","PubMed+PubTator3"
"SOD2","6648",1,"25295643","migraine","PubMed+PubTator3"
"SPINK2","6691",1,"35115687","migraine","PubMed+PubTator3"
"SPOCD1","90853",1,"41420111","migraine","PubMed+PubTator3"
"SREBF2","6721",1,"38840241","migraine","PubMed+PubTator3"
"SRP14","6727",1,"36914876","migraine","PubMed+PubTator3"
"SRR","63826",1,"27394076","migraine","PubMed+PubTator3"
"SSBP3","23648",1,"36739509","migraine","PubMed+PubTator3"
"STAC3","246329",1,"41067425","migraine","PubMed+PubTator3"
"STUM","375057",1,"38951977","migraine","PubMed+PubTator3"
"superoxide dismutase 1","6647",1,"25295643","migraine","PubMed+PubTator3"
"syntaxin 1A","6804",1,"22250207","migraine","PubMed+PubTator3"
"syntaxin 1A.","6804",1,"22250207","migraine","PubMed+PubTator3"
"Taar1","111174",1,"27031617","migraine","PubMed+PubTator3"
"TAAR1","134864;111174",1,"27031617","migraine","PubMed+PubTator3"
"TARBP2","6895",1,"26660531","migraine","PubMed+PubTator3"
"TBC1D17","79735",1,"41288865","migraine","PubMed+PubTator3"
"TBC1D7","51256",1,"23793025","migraine","PubMed+PubTator3"
"TBL2","26608",1,"37254524","migraine","PubMed+PubTator3"
"TEF","7008",1,"36739509","migraine","PubMed+PubTator3"
