"Gene"
"AAGAB"
"AKT1"
"APC"
"AR"
"ATM"
"AURKA"
"AXIN2"
"BARD1"
"BAX"
"BLM"
"BMPR1A"
"BRAF"
"BRCA1"
"BRCA2"
"BRIP1"
"BUB1"
"BUB1B"
"BUB3"
"C1S"
"CASP10"
"CCND1"
"CDH1"
"CDKN1B"
"CDKN2A"
"CEP57"
"CHEK2"
"COL14A1"
"CTNNB1"
"CXCR4"
"DCC"
"DLC1"
"EP300"
"EPCAM"
"EPHB2"
"ERBB2"
"FGFR2"
"FGFR3"
"FLCN"
"FOXE1"
"GREM1"
"HABP2"
"IL1B"
"IL1RN"
"IRF1"
"KLF6"
"KRAS"
"MAD1L1"
"MBD4"
"MCC"
"MDM2"
"MINPP1"
"MLH1"
"MLH3"
"MRE11"
"MSH2"
"MSH3"
"MSH6"
"MUTYH"
"MXI1"
"NAB2"
"NBN"
"NF1"
"NPAT"
"NRAS"
"NTHL1"
"PALB2"
"PALLD"
"PDGFRL"
"PIK3CA"
"PLA2G2A"
"PMS1"
"PMS2"
"POLD1"
"POLE"
"PTEN"
"PTPN12"
"PTPRJ"
"RABL3"
"RAD50"
"RAD51"
"RAD51C"
"RAD51D"
"RAD54B"
"RNASEL"
"RNF43"
"RPS19"
"RPS20"
"SEMA4A"
"SMAD4"
"SMAD7"
"SRC"
"SRY"
"STAT6"
"STK11"
"TGFBR2"
"TLR2"
"TP53"
"TRIP13"
"ZFHX3"
