"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"ARF","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ARL11","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ARMADILLO","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ARMCX1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ARMCX2","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ARMCX3","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ASSOCIATED","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ASSOCIATED","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ASSOCIATED","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ASSOCIATED","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ASTROCYTOMA","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATA","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATA","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA-","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA-","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATG16L1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATM","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATM","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATM","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATM","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATP","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATP-BINDING","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATP13A2","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATR","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATR","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATR","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATR","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATXN2","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATXN3","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ATXN8OS","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AURKA","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AURKA","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AURKA","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AURKA","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AUTOIMMUNE","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AUTOSOMAL","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIN1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIN1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIN2","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIN2","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIN2","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIN2","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AXIS","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"B-RAF","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"B13","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"BAP1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
