"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"ALOX12","P18054","Polyunsaturated fatty acid lipoxygenase ALOX12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AMACO","Q5GFL6","von Willebrand factor A domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ANAPC1","Q9H1A4","Anaphase-promoting complex subunit 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ANKH","Q9HCJ1","Mineralization regulator ANKH","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ANKRD17","O75179","Ankyrin repeat domain-containing protein 17","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ANLN","Q9NQW6","Anillin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ANO1","Q5XXA6","Anoctamin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ANO7","Q6IWH7","Anoctamin-7","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"APC","P25054","Adenomatous polyposis coli protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"API4","O15392","Baculoviral IAP repeat-containing protein 5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AR","P10275","Androgen receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARC33","O75586","Mediator of RNA polymerase II transcription subunit 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARD1","Q12972","Nuclear inhibitor of protein phosphatase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARH3","Q9NX46","ADP-ribosylhydrolase ARH3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARHGAP13","Q7Z6B7","SLIT-ROBO Rho GTPase-activating protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARHGAP7","Q96QB1","Rho GTPase-activating protein 7","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARID4B","Q4LE39","AT-rich interactive domain-containing protein 4B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARID5B","Q14865","AT-rich interactive domain-containing protein 5B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARK2","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARMC3","Q5W041","Armadillo repeat-containing protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARMET","P55145","Mesencephalic astrocyte-derived neurotrophic factor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARP","P55145","Mesencephalic astrocyte-derived neurotrophic factor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ARPT1","Q8TDG2","Actin-related protein T1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ASAP3","Q8TDY4","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ASPP2","Q13625","Apoptosis-stimulating of p53 protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ASRIJ","Q9NX40","OCIA domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATAD2","Q6PL18","ATPase family AAA domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATBF1","Q15911","Zinc finger homeobox protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATBP","Q9ULD2","Microtubule-associated tumor suppressor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATIP","Q9ULD2","Microtubule-associated tumor suppressor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATM","Q13315","Serine-protein kinase ATM","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATPBD3","Q7Z7A3","Cytoplasmic tRNA 2-thiolation protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ATR","Q13535","Serine/threonine-protein kinase ATR","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AURKB","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AVPR2","P30518","Vasopressin V2 receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AXIN","O15169","Axin-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AXIN1","O15169","Axin-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AXIN2","Q9Y2T1","Axin-2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AXL","P30530","Tyrosine-protein kinase receptor UFO","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"B7H4","Q7Z7D3","V-set domain-containing T-cell activation inhibitor 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BACH1","Q9BX63","Fanconi anemia group J protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BAF190A","P51532","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BAF47","Q12824","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BBP","Q13625","Apoptosis-stimulating of p53 protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BBS14","O15078","Centrosomal protein of 290 kDa","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BC10","P62952","Apoptosis inducing factor BLCAP","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCA3","Q9NQ31","A-kinase-interacting protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCAP","Q9UIL8","PHD finger protein 11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCAR1","P56945","Breast cancer anti-estrogen resistance protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCAR2","Q96PN7","Transcriptional-regulating factor 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCAR3","O75815","Breast cancer anti-estrogen resistance protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCAS1","O75363","Breast carcinoma-amplified sequence 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCD1","Q99612","Krueppel-like factor 6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCEI","P04155","Trefoil factor 1","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCG1","Q9UNF1","Melanoma-associated antigen D2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCL2L11","O43521","Bcl-2-like protein 11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCLAF1","Q9NYF8","Bcl-2-associated transcription factor 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"BCMP11","Q8TD06","Anterior gradient protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
