"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"ECRG1","Q6ZMR5","Transmembrane protease serine 11A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ECRG4","Q9H1Z8","Augurin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ECT2","Q9H8V3","Protein ECT2","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EEF1AKNMT","Q8N6R0","eEF1A lysine and N-terminal methyltransferase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EEG1","Q6IMN6","Caprin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EGFR","P00533","Epidermal growth factor receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EHBP1","Q8NDI1","EH domain-binding protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EI24","O14681","Etoposide-induced protein 2.4 homolog","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EIF3D","O15371","Eukaryotic translation initiation factor 3 subunit D","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EIF3S7","O15371","Eukaryotic translation initiation factor 3 subunit D","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EIF4EBP1","Q13541","Eukaryotic translation initiation factor 4E-binding protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ELAC2","Q9BQ52","Zinc phosphodiesterase ELAC protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ELF3","P78545","ETS-related transcription factor Elf-3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EMC3","Q9P0I2","ER membrane protein complex subunit 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EMCN","Q9ULC0","Endomucin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EMCN2","Q9ULC0","Endomucin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EMOC","Q9BVX2","Transmembrane protein 106C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EMP","Q7L5Y9","E3 ubiquitin-protein transferase MAEA","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EMSY","Q7Z589","BRCA2-interacting transcriptional repressor EMSY","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ENTR1","Q96C92","Endosome-associated-trafficking regulator 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EP300","Q09472","Histone acetyltransferase p300","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPCAM","P16422","Epithelial cell adhesion molecule","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPDR1","Q9UM22","Mammalian ependymin-related protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPHA2","P29317","Ephrin type-A receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPHA3","P29320","Ephrin type-A receptor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPHB2","P29323","Ephrin type-B receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPHT3","P29323","Ephrin type-B receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPPIN","O95925","Eppin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPS8","Q12929","Epidermal growth factor receptor kinase substrate 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPTH3","P29323","Ephrin type-B receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EPVE6AP","Q05086","Ubiquitin-protein ligase E3A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERBB","P00533","Epidermal growth factor receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERBB1","P00533","Epidermal growth factor receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERBB2","P04626","Receptor tyrosine-protein kinase erbB-2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERCC11","Q92889","DNA repair endonuclease XPF","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERCC4","Q92889","DNA repair endonuclease XPF","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERCC6","Q03468","DNA excision repair protein ERCC-6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERCC8","Q13216","DNA excision repair protein ERCC-8","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERGIC3","Q9Y282","Endoplasmic reticulum-Golgi intermediate compartment protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERK","P29323","Ephrin type-B receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERK3","Q16659","Mitogen-activated protein kinase 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERK6","P53778","Mitogen-activated protein kinase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERT","P78545","ETS-related transcription factor Elf-3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ERV46","Q9Y282","Endoplasmic reticulum-Golgi intermediate compartment protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ESO1","P78358","Cancer/testis antigen 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ESO2","O75638","Cancer/testis antigen 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EST2","O14746","Telomerase reverse transcriptase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ESTF","P41279","Mitogen-activated protein kinase kinase kinase 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ESX","P78545","ETS-related transcription factor Elf-3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ETK","P29320","Ephrin type-A receptor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ETK1","P29320","Ephrin type-A receptor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ETV6","P41212","Transcription factor ETV6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EXO1","Q9UQ84","Exonuclease 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EXOI","Q9UQ84","Exonuclease 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"EXT2","Q93063","Exostosin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FACD","P51587","Breast cancer type 2 susceptibility protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAK","Q05397","Focal adhesion kinase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAK1","Q05397","Focal adhesion kinase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAK2","Q14289","Protein-tyrosine kinase 2-beta","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAKTS","Q8NCD3","Holliday junction recognition protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM10A1","P50502","Hsc70-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM111B","Q6SJ93","Serine protease FAM111B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM120A","Q9NZB2","Constitutive coactivator of PPAR-gamma-like protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM168A","Q92567","Protein FAM168A","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM16AX","Q08623","Pseudouridine-5'-phosphatase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM175A","Q6UWZ7","BRCA1-A complex subunit Abraxas 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM3C","Q92520","Protein FAM3C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM5A","O60477","BMP/retinoic acid-inducible neural-specific protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM83A","Q86UY5","Protein FAM83A","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAM83D","Q9H4H8","Protein FAM83D","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FANCD1","P51587","Breast cancer type 2 susceptibility protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FANCJ","Q9BX63","Fanconi anemia group J protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FANCN","Q86YC2","Partner and localizer of BRCA2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FAPP2","Q96JA3","Pleckstrin homology domain-containing family A member 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FATE","Q969F0","Fetal and adult testis-expressed transcript protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FATE1","Q969F0","Fetal and adult testis-expressed transcript protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FBLN1","P23142","Fibulin-1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FBP11","O75400","Pre-mRNA-processing factor 40 homolog A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FBX9","Q9UK97","F-box only protein 9","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FBXO9","Q9UK97","F-box only protein 9","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FEAT","Q8N6R0","eEF1A lysine and N-terminal methyltransferase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FERMT1","Q9BQL6","Fermitin family homolog 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FES","P07332","Tyrosine-protein kinase Fes/Fps","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FEZ1","Q9Y250","Leucine zipper putative tumor suppressor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FGFR2","P21802","Fibroblast growth factor receptor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FGFR3","P22607","Fibroblast growth factor receptor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FGFR4","P22455","Fibroblast growth factor receptor 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FH","P07954","Fumarate hydratase, mitochondrial","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FIGC","Q9P0J7","E3 ubiquitin-protein ligase KCMF1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FILIP1L","Q4L180","Filamin A-interacting protein 1-like","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FKHL15","O00358","Forkhead box protein E1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FKHRL1","O43524","Forkhead box protein O3","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLAF1","O75400","Pre-mRNA-processing factor 40 homolog A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLCN","Q8NFG4","Folliculin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLEG1","Q8NCD3","Holliday junction recognition protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLK1","P35968","Vascular endothelial growth factor receptor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLK2","P36888","Receptor-type tyrosine-protein kinase FLT3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLN2","Q14315","Filamin-C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLNC","Q14315","Filamin-C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLT","P17948","Vascular endothelial growth factor receptor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLT1","P17948","Vascular endothelial growth factor receptor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLT3","P36888","Receptor-type tyrosine-protein kinase FLT3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FLT4","P35916","Vascular endothelial growth factor receptor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FMS","P07333","Macrophage colony-stimulating factor 1 receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FNBP3","O75400","Pre-mRNA-processing factor 40 homolog A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FOG1","Q8IX07","Zinc finger protein ZFPM1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FOR","Q9NZC7","WW domain-containing oxidoreductase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FOXE1","O00358","Forkhead box protein E1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FOXE2","O00358","Forkhead box protein E1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FOXO3","O43524","Forkhead box protein O3","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FOXO3A","O43524","Forkhead box protein O3","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FPS","P07332","Tyrosine-protein kinase Fes/Fps","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FRP1","Q13535","Serine/threonine-protein kinase ATR","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FRT","P17948","Vascular endothelial growth factor receptor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FSP2","O75952","Calcium-binding tyrosine phosphorylation-regulated protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FTNB","Q99965","Disintegrin and metalloproteinase domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"FUNDC2","Q9BWH2","FUN14 domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GA19","Q9BXJ9","N-alpha-acetyltransferase 15, NatA auxiliary subunit","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GA733-2","P16422","Epithelial cell adhesion molecule","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GAIP","P49795","Regulator of G-protein signaling 19","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GALNT10","Q86SR1","Polypeptide N-acetylgalactosaminyltransferase 10","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GALNT12","Q8IXK2","Polypeptide N-acetylgalactosaminyltransferase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GASP","Q96AW1","WW domain binding protein VOPP1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GCC2","Q8IWJ2","GRIP and coiled-coil domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GGF","Q02297","Pro-neuregulin-1, membrane-bound isoform","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GIP90","Q4L180","Filamin A-interacting protein 1-like","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GISP","Q9BYZ8","Regenerating islet-derived protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GK1","Q9ULD2","Microtubule-associated tumor suppressor 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GLUT5","P22732","Solute carrier family 2, facilitated glucose transporter member 5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GNAI3IP","P49795","Regulator of G-protein signaling 19","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GNAS","P84996","Protein ALEX","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GNAS1","P84996","Protein ALEX","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GOK","Q13586","Stromal interaction molecule 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GPNMB","Q14956","Transmembrane glycoprotein NMB","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GPR106","Q8WXD0","Relaxin receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GPR48","Q9BXB1","Leucine-rich repeat-containing G-protein coupled receptor 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GPR68","Q15743","G-protein coupled receptor 68","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GREAT","Q8WXD0","Relaxin receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GREB1","Q4ZG55","Protein GREB1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GREB1L","Q9C091","GREB1-like protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GRIM19","Q9P0J0","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GS1","Q08623","Pseudouridine-5'-phosphatase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GSDME","O60443","Gasdermin-E","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GT650","Q9Y3M8","StAR-related lipid transfer protein 13","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GTAR","O75179","Ankyrin repeat domain-containing protein 17","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GTBP","P52701","DNA mismatch repair protein Msh6","UniProt","(keyword:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GTPBP9","Q9NTK5","Obg-like ATPase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"GYG2","O15488","Glycogenin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HABP2","Q14520","Factor VII-activating protease","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HAGE","Q9NXZ2","Probable ATP-dependent RNA helicase DDX43","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HATL1","Q6ZMR5","Transmembrane protease serine 11A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HBLD2","Q9BUE6","Iron-sulfur cluster assembly 1 homolog, mitochondrial","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HBS1","Q9Y450","HBS1-like protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HBS1L","Q9Y450","HBS1-like protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HC8","P25788","Proteasome subunit alpha type-3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HCA2","Q8TD91","Melanoma-associated antigen C3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HCA587","Q9UBF1","Melanoma-associated antigen C2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HCA661","Q5H9I0","Transcription factor Dp family member 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HCA88","O75521","Enoyl-CoA delta isomerase 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HCBP6","Q9BWH2","FUN14 domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HCK","P08631","Tyrosine-protein kinase HCK","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HDAC1","Q13547","Histone deacetylase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HDHD1","Q08623","Pseudouridine-5'-phosphatase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HDHD1A","Q08623","Pseudouridine-5'-phosphatase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HEC","O14777","Kinetochore protein NDC80 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HEC1","O14777","Kinetochore protein NDC80 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HEK","P29320","Ephrin type-A receptor 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HEK5","P29323","Ephrin type-B receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HER1","P00533","Epidermal growth factor receptor","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HER2","P04626","Receptor tyrosine-protein kinase erbB-2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HERNA","Q9UPY3","Endoribonuclease Dicer","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HESP","Q6ZMR5","Transmembrane protease serine 11A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HET","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HEX1","Q9UQ84","Exonuclease 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HEXB","P07686","Beta-hexosaminidase subunit beta","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HGFAL","Q14520","Factor VII-activating protease","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HGFIN","Q14956","Transmembrane glycoprotein NMB","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HGL","Q02297","Pro-neuregulin-1, membrane-bound isoform","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HGRG8","Q9Y5A9","YTH domain-containing family protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HHL","Q5R372","Rab GTPase-activating protein 1-like","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIC1","Q14526","Hypermethylated in cancer 1 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIC2","Q96JB3","Hypermethylated in cancer 2 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIF1","Q9BYW2","Histone-lysine N-methyltransferase SETD2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HILI","Q8TC59","Piwi-like protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIP","P50502","Hsc70-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIP10","O75400","Pre-mRNA-processing factor 40 homolog A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIP116A","Q14527","DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HIRIP4","O60884","DnaJ homolog subfamily A member 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HJURP","Q8NCD3","Holliday junction recognition protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HLTF","Q14527","DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HMG1","P09429","High mobility group protein B1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HMGB1","P09429","High mobility group protein B1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HNF1B","P35680","Hepatocyte nuclear factor 1-beta","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HNGS1","P49959","Double-strand break repair protein MRE11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HNRNPK","P61978","Heterogeneous nuclear ribonucleoprotein K","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HNRPCL2","Q9UKM9","RNA-binding protein Raly","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HNRPK","P61978","Heterogeneous nuclear ribonucleoprotein K","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HOD","Q9BPY8","Homeodomain-only protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HOP","Q9BPY8","Homeodomain-only protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HOPX","Q9BPY8","Homeodomain-only protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HORMAD1","Q86X24","HORMA domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HOXB13","Q92826","Homeobox protein Hox-B13","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HPC2","Q9BQ52","Zinc phosphodiesterase ELAC protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HPVE6A","Q05086","Ubiquitin-protein ligase E3A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HRAS","P01112","GTPase HRas","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HRAS1","P01112","GTPase HRas","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HRASLS3","P53816","Phospholipase A and acyltransferase 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HREV107","P53816","Phospholipase A and acyltransferase 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HRG22","Q96JB3","Hypermethylated in cancer 2 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HRGA","Q02297","Pro-neuregulin-1, membrane-bound isoform","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HRPT2","Q6P1J9","Parafibromin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HSP90A","P07900","Heat shock protein HSP 90-alpha","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"HSP90AA1","P07900","Heat shock protein HSP 90-alpha","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
