"Source","Total_Associations","Unique_Genes"
"GWAS Catalog",4369,2595
"Open Targets",2541,2523
"PubMed",0,828
"OMIM",1762,789
"GTEx",0,613
"ClinVar",4867,382
"Human Phenotype Ontology",176,161
"UniProt",45,45
