"Tissue_ID","Tissue_Label","Tissue_Query","Literature_Count","Query"
"Lung","Lung","Lung",316766,"(""cancer""[Title/Abstract]) AND (""Lung""[Title/Abstract])"
"Prostate","Prostate","Prostate",190492,"(""cancer""[Title/Abstract]) AND (""Prostate""[Title/Abstract])"
"Liver","Liver","Liver",125070,"(""cancer""[Title/Abstract]) AND (""Liver""[Title/Abstract])"
"Bladder","Bladder","Bladder",70996,"(""cancer""[Title/Abstract]) AND (""Bladder""[Title/Abstract])"
"Thyroid","Thyroid","Thyroid",51378,"(""cancer""[Title/Abstract]) AND (""Thyroid""[Title/Abstract])"
"Stomach","Stomach","Stomach",34100,"(""cancer""[Title/Abstract]) AND (""Stomach""[Title/Abstract])"
"Pancreas","Pancreas","Pancreas",20624,"(""cancer""[Title/Abstract]) AND (""Pancreas""[Title/Abstract])"
"Ovary","Ovary","Ovary",12143,"(""cancer""[Title/Abstract]) AND (""Ovary""[Title/Abstract])"
