"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"CGRP","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CGRP","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CGRP","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHANNEL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHANNEL","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHANNEL","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHANNEL","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHD2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHD2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHIARI","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHILD","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHILDHOOD","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHILDHOOD","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHILDHOOD","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHRNA2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHRNA2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CHRNA2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CINNAMON","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CLCN2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CLCN2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CLCN2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CLUSTER","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CLUSTER","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CMPK2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CMPK2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CNPY3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CNPY3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL4A1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL4A1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL4A1-","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL4A1-","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL4A2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL4A2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL6A3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COL6A3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COLGALT1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COLGALT1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COLLAGEN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COMBINED","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COMBINED","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COMPLEX","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CONVERTING","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COXPD16","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"COXPD16","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CPA6","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CPA6","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CPLX1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CPLX1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CRLS1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CRLS1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CSNK1D","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CST3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CST3","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CTSA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CTSA","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CUX2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CUX2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CVS","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CYCLE","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CYCLE-DEPENDENT","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CYCLIC","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CYFIP2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CYFIP2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DAB1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DAB1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DAB1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DALRD3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DALRD3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DBH","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DECIPHER","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DECIPHER","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DECIPHER","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DECIPHER","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DECIPHER","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEFICIENCY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEFICIENCY","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEFICIENCY","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEHYDROGENASE","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEHYDROGENASE-","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DELTA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DENND5A","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DENND5A","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPDC5","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPDC5","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPENDENT","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPENDENT","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPENDENT","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPENDENT","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPLETION","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPRESSIVE","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPRESSIVE","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DEPRESSIVE","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DERIVED","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DGUOK","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DIETZ","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DIFFUSE","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DIVRY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DMXL2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DMXL2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNA","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNA","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNM1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DNM1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOCK7","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOCK7","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOMINANT","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOMINANT","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOMINANT","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOMINANT","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOPA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOPA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOPA-","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOPA-","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DOPAMINE","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DRAVET","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DRAVET","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DRVT","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DRVT","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYSARTHRIA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYSKINESIA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYSMORPHIC","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYSMORPHIC","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYSTONIA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYSTROPHY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT13","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT13","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT15","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT15","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT17","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT17","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT21","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT21","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT23","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT23","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT7","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT7","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"DYT9","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"E11","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"E72","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"E72","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"E88","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA3","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA3","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA4","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA4","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA4","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA6","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA7","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA7","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA7","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA7","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA8","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA8","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA8","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EA8","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EARS2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EARS2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EDEMA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EDNRA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EDNRA","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EDNRA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EDNRA","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EDNRA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EEF1A2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EEF1A2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EEF2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EEF2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EEF2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIF2AK2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIF2AK2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG3","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG4","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG4","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG5","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG5","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG5","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG7","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG7","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EIG7","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EKD2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EKD2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELAC2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELAC2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELOVL4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELOVL4","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELOVL4","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELOVL5","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELOVL5","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ELOVL5","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ENDOTHELIN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ENG","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ENG","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ENZYME","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPILEPSY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPILEPSY","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPILEPSY","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPISODIC","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPISODIC","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPISODIC","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EPISODIC","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ESR1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ESR1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ESR1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ESR1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ESR1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ESTROGEN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL3","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL4","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL6","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETL6","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ETV6","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EVS","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EVS","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EVS","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EVS","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"EVS","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"F32","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"F32","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"F32","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FACIES","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FACIES","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FACILITATED","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FACTOR","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FACTOR","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILIAL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILIAL","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILIAL","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILIAL","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILIAL","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILY","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAMILY","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FARIMPD","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FARIMPD","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FARS2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FARS2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FASPS2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FASTKD2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FASTKD2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAT2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAT2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FAT2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FBXL4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FBXO28","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FBXO28","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FETAL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FETAL","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FEVER","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF12","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF12","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF13","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF13","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF14","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF14","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FGF14","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM3","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM3","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM3","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM4","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM4","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM4","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FHM4","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FKBP5","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FKBP5","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FKBP5","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FPLD9","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FRRS1L","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FRRS1L","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FUSION","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FZR1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"FZR1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"G-HMPSQC23JJ","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"G-HMPSQC23JJ","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
