"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"ANGIOMATOSIS","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANGIOPATHY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANGIOPATHY","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANGIOTENSIN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANHIDROSIS","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANISOCORIA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANO1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANO3","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANO3","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANOMALIES","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ANOMALIES","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AOPEP","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AOPEP","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AP3B2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AP3B2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"API","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"API","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"API","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"API","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"API","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"APOA1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"APOA1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARHGEF15","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARHGEF15","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARHGEF9","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARHGEF9","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARRESTEN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARTERIOPATHY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARTERIOPATHY","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARTERIOPATHY","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARTERIOPATHY","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARV1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARV1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARX","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ARX","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ASSOCIATED","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATAXIC","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A2","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ATP1A2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
