Database,Total_Records,Unique_Genes,Records_per_Gene,Coverage_Percentage,Quality_Score
gwasrapidd,2595,2595,1.0,38.71400865284201,54.61420259585261
opentargets,2523,2523,1.0,37.639862748023276,54.29195882440698
pubmed,828,828,1.0,12.352677905415485,46.70580337162464
omim,789,789,1.0,11.770848873638668,46.531254662091605
gtex,613,613,1.0,9.145158884081754,45.743547665224526
gtex_prioritized,613,613,1.0,9.145158884081754,45.743547665224526
clinvar,382,382,1.0,5.698940772788304,44.70968223183649
hpo,161,161,1.0,2.4019095927196776,43.72057287781591
uniprot,45,45,1.0,0.6713411905117112,21.201402357153516
