Gene,Database_Count,Databases,Confidence_Level
CACNA1A,7,clinvar;gwasrapidd;hpo;omim;opentargets;pubmed;uniprot,High
TREX1,7,clinvar;gwasrapidd;hpo;omim;opentargets;pubmed;uniprot,High
SCN1A,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
SLC1A3,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
SLC2A1,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
COL4A1,6,clinvar;gwasrapidd;hpo;omim;opentargets;pubmed,High
ATP1A2,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
CSNK1D,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
PRRT2,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
KCNK18,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
TNF,5,clinvar;hpo;omim;opentargets;pubmed,High
HTRA1,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
ALPK1,5,clinvar;hpo;omim;opentargets;uniprot,High
COL4A2,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
OPA1,5,clinvar;hpo;omim;opentargets;pubmed,High
ESR1,5,clinvar;hpo;omim;opentargets;pubmed,High
CACNA1H,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
NOTCH3,5,clinvar;hpo;omim;opentargets;pubmed,High
ADARB2,5,gtex;gtex_prioritized;gwasrapidd;opentargets;pubmed,High
RNF213,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
EDNRA,5,clinvar;hpo;omim;opentargets;pubmed,High
ACSL5,5,gtex;gtex_prioritized;gwasrapidd;opentargets;pubmed,High
ATP1A4,5,gtex;gtex_prioritized;omim;opentargets;pubmed,High
POLG,5,clinvar;hpo;omim;opentargets;pubmed,High
FADS2,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
GSTM4,4,gtex;gtex_prioritized;opentargets;pubmed,High
SLC25A21,4,gwasrapidd;omim;opentargets;pubmed,High
MTHFR,4,clinvar;omim;opentargets;pubmed,High
ATP1A3,4,omim;opentargets;pubmed;uniprot,High
TPSD1,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
TIGAR,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
SLC12A1,4,gtex;gtex_prioritized;opentargets;pubmed,High
PHACTR1,4,gwasrapidd;omim;opentargets;pubmed,High
RPS26,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
AFAP1,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
TGFBR2,4,hpo;omim;opentargets;pubmed,High
SCN5A,4,clinvar;opentargets;pubmed;uniprot,High
SLC20A2,4,clinvar;omim;opentargets;pubmed,High
HTR1F,4,omim;opentargets;pubmed;uniprot,High
PEX11B,4,clinvar;hpo;omim;uniprot,High
MT-TL1,4,clinvar;hpo;opentargets;pubmed,High
CALCA,4,gwasrapidd;omim;opentargets;pubmed,High
PDGFRB,4,clinvar;hpo;omim;opentargets,High
GABRG2,4,clinvar;hpo;omim;opentargets,High
AMACR,4,clinvar;hpo;omim;uniprot,High
CST3,4,hpo;omim;opentargets;uniprot,High
PDGFB,4,hpo;omim;opentargets;pubmed,High
TGFB3,4,gwasrapidd;omim;opentargets;pubmed,High
HLA-C,4,gtex;gtex_prioritized;opentargets;pubmed,High
SLC6A4,4,clinvar;omim;opentargets;pubmed,High
NLRP1,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
NDUFS5,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
MTRF1L,3,gtex;gtex_prioritized;gwasrapidd,High
TMEM176B,3,gtex;gtex_prioritized;opentargets,High
LYZ,3,gtex;gtex_prioritized;omim,High
C1QL3,3,gtex;gtex_prioritized;gwasrapidd,High
HSD17B12,3,gtex;gtex_prioritized;opentargets,High
INTS1,3,gtex;gtex_prioritized;opentargets,High
CLEC18A,3,gtex;gtex_prioritized;opentargets,High
FHL5,3,gwasrapidd;opentargets;pubmed,High
SPINK2,3,gwasrapidd;opentargets;pubmed,High
HTR2A,3,omim;opentargets;pubmed,High
ERAP2,3,gtex;gtex_prioritized;pubmed,High
EFHB,3,gtex;gtex_prioritized;gwasrapidd,High
LINC02210,3,gtex;gtex_prioritized;gwasrapidd,High
TUFM,3,gtex;gtex_prioritized;omim,High
ATP23,3,gtex;gtex_prioritized;opentargets,High
HLA-DQA2,3,gtex;gtex_prioritized;opentargets,High
LRRC37A4P,3,gtex;gtex_prioritized;gwasrapidd,High
PRPH2,3,gtex;gtex_prioritized;opentargets,High
DND1P1,3,gtex;gtex_prioritized;gwasrapidd,High
RALGAPA1,3,gtex;gtex_prioritized;opentargets,High
NECAP1,3,gtex;gtex_prioritized;omim,High
SNX16,3,gtex;gtex_prioritized;gwasrapidd,High
TMEM176A,3,gtex;gtex_prioritized;opentargets,High
ADCYAP1R1,3,gtex;gtex_prioritized;opentargets,High
ATG10,3,gtex;gtex_prioritized;opentargets,High
MIPEP,3,gtex;gtex_prioritized;omim,High
PEX6,3,gtex;gtex_prioritized;omim,High
SLC35G6,3,gwasrapidd;opentargets;pubmed,High
TMA7,3,gwasrapidd;opentargets;pubmed,High
MT-TQ,3,clinvar;hpo;opentargets,High
CALR,3,clinvar;hpo;opentargets,High
CTDP1,3,clinvar;gtex;gtex_prioritized,High
TGFB2,3,omim;opentargets;pubmed,High
ADORA2B,3,gtex;gtex_prioritized;opentargets,High
KCNK5,3,gwasrapidd;opentargets;pubmed,High
RBM6,3,clinvar;gtex;gtex_prioritized,High
L3MBTL2,3,gwasrapidd;opentargets;pubmed,High
NMUR2,3,gwasrapidd;opentargets;pubmed,High
ZBTB39,3,gwasrapidd;opentargets;pubmed,High
TPH2,3,omim;opentargets;pubmed,High
INSR,3,omim;opentargets;pubmed,High
DBH,3,omim;opentargets;pubmed,High
MRM2,3,gwasrapidd;omim;opentargets,High
MT-CO2,3,clinvar;hpo;opentargets,High
STX10,3,clinvar;gwasrapidd;opentargets,High
DDAH1,3,gtex;gtex_prioritized;opentargets,High
NEDD1,3,gtex;gtex_prioritized;opentargets,High
P2RX1,3,gtex;gtex_prioritized;opentargets,High
ZFP57,3,gtex;gtex_prioritized;gwasrapidd,High
CCDC40,3,gtex;gtex_prioritized;gwasrapidd,High
SFXN4,3,gtex;gtex_prioritized;omim,High
PRMT6,3,gtex;gtex_prioritized;opentargets,High
LINC02153,3,gtex;gtex_prioritized;gwasrapidd,High
PRKCZ,3,gtex;gtex_prioritized;gwasrapidd,High
VARS2,3,gtex;gtex_prioritized;omim,High
LINC01252,3,gtex;gtex_prioritized;gwasrapidd,High
MIF,3,gtex;gtex_prioritized;opentargets,High
TARBP2,3,gwasrapidd;opentargets;pubmed,High
MAPK8IP1P2,3,gtex;gtex_prioritized;gwasrapidd,High
TRAP1,3,gtex;gtex_prioritized;opentargets,High
NDUFA6,3,gtex;gtex_prioritized;opentargets,High
AOC1,3,gtex;gtex_prioritized;opentargets,High
LRRC37A2,3,gtex;gtex_prioritized;gwasrapidd,High
GSTM3,3,gtex;gtex_prioritized;pubmed,High
SORT1,3,gtex;gtex_prioritized;opentargets,High
HLA-DQB1,3,gtex;gtex_prioritized;hpo,High
TAMM41,3,gtex;gtex_prioritized;omim,High
C4A,3,gwasrapidd;hpo;opentargets,High
BTBD16,3,gwasrapidd;opentargets;pubmed,High
NCOR2,3,gwasrapidd;opentargets;pubmed,High
CFDP1,3,gwasrapidd;opentargets;pubmed,High
GRM7,3,gwasrapidd;opentargets;pubmed,High
CSF1R,3,gwasrapidd;opentargets;pubmed,High
STX1A,3,gwasrapidd;opentargets;pubmed,High
HEY2,3,gwasrapidd;opentargets;pubmed,High
HPSE2,3,gwasrapidd;opentargets;pubmed,High
EP300,3,gwasrapidd;opentargets;pubmed,High
SLC9B1,3,gwasrapidd;opentargets;pubmed,High
TWNK,3,hpo;omim;opentargets,High
MICU1,3,gwasrapidd;opentargets;pubmed,High
KCNK2,3,opentargets;pubmed;uniprot,High
TLN1,3,gwasrapidd;opentargets;pubmed,High
SCN11A,3,gwasrapidd;opentargets;pubmed,High
TAAR1,3,gwasrapidd;opentargets;pubmed,High
SERPINA1,3,gwasrapidd;opentargets;pubmed,High
KIAA0040,3,gwasrapidd;opentargets;pubmed,High
THADA,3,gwasrapidd;opentargets;pubmed,High
KCNE2,3,gwasrapidd;opentargets;pubmed,High
NSF,3,gwasrapidd;omim;opentargets,High
MRGPRE,3,gwasrapidd;opentargets;pubmed,High
SLC44A4,3,gwasrapidd;opentargets;pubmed,High
GPATCH4,3,gwasrapidd;opentargets;pubmed,High
PBX2,3,gwasrapidd;opentargets;pubmed,High
NOTCH4,3,gwasrapidd;opentargets;pubmed,High
SPTBN2,3,gwasrapidd;omim;opentargets,High
HOXB3,3,gwasrapidd;opentargets;pubmed,High
CHST6,3,gwasrapidd;opentargets;pubmed,High
GFRA1,3,gwasrapidd;opentargets;pubmed,High
ANKDD1B,3,gwasrapidd;opentargets;pubmed,High
NLGN1,3,gwasrapidd;opentargets;pubmed,High
ICA1L,3,gwasrapidd;opentargets;pubmed,High
SLC24A3,3,gwasrapidd;opentargets;pubmed,High
PLCG1,3,gwasrapidd;opentargets;pubmed,High
TBL2,3,gwasrapidd;opentargets;pubmed,High
CYP2C19,3,gwasrapidd;opentargets;pubmed,High
TSPAN2,3,gwasrapidd;opentargets;pubmed,High
UFL1,3,gwasrapidd;opentargets;pubmed,High
EHMT2,3,gwasrapidd;opentargets;pubmed,High
ATP2B1,3,gwasrapidd;opentargets;pubmed,High
HBQ1,3,gwasrapidd;opentargets;pubmed,High
B3GNT8,3,gwasrapidd;opentargets;pubmed,High
ITPK1,3,gwasrapidd;opentargets;pubmed,High
FECH,3,gwasrapidd;opentargets;pubmed,High
CALCB,3,gwasrapidd;opentargets;pubmed,High
BCAR1,3,gwasrapidd;opentargets;pubmed,High
MEF2D,3,gwasrapidd;opentargets;pubmed,High
CPS1,3,gwasrapidd;opentargets;pubmed,High
MLLT10,3,gwasrapidd;opentargets;pubmed,High
KCND3,3,gwasrapidd;omim;opentargets,High
MDK,3,gwasrapidd;opentargets;pubmed,High
RELN,3,hpo;omim;opentargets,High
LGI1,3,hpo;omim;opentargets,High
STIM1,3,hpo;omim;opentargets,High
NGFR,3,gwasrapidd;opentargets;pubmed,High
PBRM1,3,gwasrapidd;opentargets;pubmed,High
KCNA1,3,hpo;omim;opentargets,High
MYORG,3,hpo;omim;opentargets,High
TP53,3,hpo;opentargets;pubmed,High
FHL3,3,gwasrapidd;opentargets;pubmed,High
MPPED2,3,gwasrapidd;opentargets;pubmed,High
CRHR1,3,gwasrapidd;opentargets;pubmed,High
LRP1,3,gwasrapidd;opentargets;pubmed,High
HLA-B,3,hpo;opentargets;pubmed,High
PGK1,3,hpo;omim;opentargets,High
HLA-DRB1,3,hpo;opentargets;pubmed,High
IMPDH2,3,clinvar;opentargets;pubmed,High
TMEM170A,3,gwasrapidd;opentargets;pubmed,High
TLR4,3,hpo;opentargets;pubmed,High
STAT6,3,gwasrapidd;opentargets;pubmed,High
TRIM32,3,gwasrapidd;opentargets;pubmed,High
TGFB1,3,gwasrapidd;opentargets;pubmed,High
SSBP3,3,gwasrapidd;opentargets;pubmed,High
TRPM8,3,gwasrapidd;opentargets;pubmed,High
IL10,3,gwasrapidd;hpo;opentargets,High
PRKG1,3,gwasrapidd;opentargets;pubmed,High
PRDM16,3,gwasrapidd;opentargets;pubmed,High
SMG6,3,gwasrapidd;opentargets;pubmed,High
ASTN2,3,gwasrapidd;opentargets;pubmed,High
ABO,3,gwasrapidd;opentargets;pubmed,High
ONECUT2,3,gwasrapidd;opentargets;pubmed,High
FGF23,3,gwasrapidd;opentargets;pubmed,High
PLEKHA1,3,gwasrapidd;opentargets;pubmed,High
MOG,3,gwasrapidd;hpo;opentargets,High
NOS1,3,gwasrapidd;opentargets;pubmed,High
FXN,3,gwasrapidd;opentargets;pubmed,High
MLXIPL,3,gwasrapidd;opentargets;pubmed,High
TARS2,3,gwasrapidd;omim;opentargets,High
ATP5F1A,3,gwasrapidd;omim;opentargets,High
RIMS1,3,gwasrapidd;opentargets;pubmed,High
PLXNB1,3,gwasrapidd;opentargets;pubmed,High
FGF6,3,gwasrapidd;opentargets;pubmed,High
NGF,3,gwasrapidd;opentargets;pubmed,High
FUT9,3,gwasrapidd;opentargets;pubmed,High
SLC16A1,3,omim;opentargets;pubmed,High
PDE4B,3,gwasrapidd;opentargets;pubmed,High
HTR1A,3,hpo;omim;opentargets,High
PROCR,3,gwasrapidd;opentargets;pubmed,High
ITGB5,3,gwasrapidd;opentargets;pubmed,High
STAC3,3,gwasrapidd;opentargets;pubmed,High
LATS1,3,gwasrapidd;opentargets;pubmed,High
PNKP,3,omim;opentargets;pubmed,High
MT-ND5,3,clinvar;hpo;opentargets,High
FARS2,3,omim;opentargets;pubmed,High
LRP11,3,gwasrapidd;opentargets;pubmed,High
MT-TK,3,clinvar;hpo;opentargets,High
MT-CO3,3,clinvar;hpo;opentargets,High
MFN2,3,clinvar;gtex;gtex_prioritized,High
SKI,3,clinvar;gwasrapidd;opentargets,High
CHRNB1,3,gwasrapidd;opentargets;pubmed,High
EHMT1,3,clinvar;gwasrapidd;opentargets,High
MT-ND1,3,clinvar;hpo;opentargets,High
JAG1,3,gwasrapidd;hpo;opentargets,High
RRM2B,3,clinvar;hpo;omim,High
HMOX2,3,gwasrapidd;opentargets;pubmed,High
MANBA,3,gwasrapidd;opentargets;pubmed,High
DEPDC5,3,clinvar;omim;opentargets,High
CACNB4,3,omim;opentargets;pubmed,High
NOS3,3,omim;opentargets;pubmed,High
IGHMBP2,3,clinvar;gtex;gtex_prioritized,High
RERE,3,gwasrapidd;opentargets;pubmed,High
MT-ND4,3,clinvar;hpo;opentargets,High
MAPT,3,gwasrapidd;opentargets;pubmed,High
CACNA1E,3,omim;opentargets;pubmed,High
PNKD,3,omim;opentargets;pubmed,High
CELSR3,3,clinvar;opentargets;pubmed,High
CHRNA2,3,gwasrapidd;omim;opentargets,High
MT-CO1,3,clinvar;hpo;opentargets,High
ACE,3,omim;opentargets;pubmed,High
SNAP25,3,omim;opentargets;pubmed,High
SMAD2,2,hpo;omim,Medium
CACNL1A4,2,pubmed;uniprot,Medium
TJP2,2,gwasrapidd;opentargets,Medium
CORO7,2,gwasrapidd;opentargets,Medium
JPH3,2,gwasrapidd;opentargets,Medium
HCRT,2,hpo;opentargets,Medium
PFKFB4,2,clinvar;gwasrapidd,Medium
CTSA,2,hpo;omim,Medium
CTSH,2,hpo;opentargets,Medium
TIMELESS,2,omim;opentargets,Medium
LIG3,2,omim;uniprot,Medium
APP,2,hpo;opentargets,Medium
ASB8,2,gwasrapidd;opentargets,Medium
BRCA2,2,hpo;opentargets,Medium
CCL3,2,opentargets;pubmed,Medium
NOP56,2,hpo;omim,Medium
GRIN2A,2,hpo;opentargets,Medium
MT-CYB,2,hpo;opentargets,Medium
COL5A1,2,hpo;opentargets,Medium
DRD4,2,opentargets;pubmed,Medium
SCN2A,2,omim;opentargets,Medium
DENND5A,2,omim;opentargets,Medium
TSHB,2,gwasrapidd;opentargets,Medium
GP1BA,2,hpo;opentargets,Medium
GUCY1A1,2,omim;opentargets,Medium
HCN2,2,omim;opentargets,Medium
NTRK2,2,omim;opentargets,Medium
LCT,2,opentargets;pubmed,Medium
FGFR2,2,hpo;pubmed,Medium
MEFV,2,hpo;opentargets,Medium
RAB30,2,gwasrapidd;opentargets,Medium
HBA1,2,gwasrapidd;opentargets,Medium
NAXE,2,gwasrapidd;opentargets,Medium
DGUOK,2,omim;opentargets,Medium
PSTPIP1,2,gwasrapidd;opentargets,Medium
LRP1B,2,gwasrapidd;pubmed,Medium
PFDN1,2,opentargets;pubmed,Medium
MT-ND6,2,hpo;opentargets,Medium
RAP1A,2,gwasrapidd;opentargets,Medium
RPL41,2,gwasrapidd;opentargets,Medium
TUBB4A,2,omim;opentargets,Medium
NKX2-5,2,gwasrapidd;opentargets,Medium
SLC6A3,2,opentargets;pubmed,Medium
GDF2,2,hpo;omim,Medium
PIK3CA,2,hpo;opentargets,Medium
CCDC184,2,gwasrapidd;opentargets,Medium
TUBG2,2,opentargets;pubmed,Medium
GABRA5,2,omim;opentargets,Medium
SCN3A,2,omim;opentargets,Medium
GADD45A,2,opentargets;pubmed,Medium
SLC35D2,2,gwasrapidd;opentargets,Medium
CADM2,2,gwasrapidd;opentargets,Medium
PRORP,2,hpo;omim,Medium
CACNA2D1,2,omim;opentargets,Medium
APOA1,2,omim;opentargets,Medium
ACVRL1,2,hpo;omim,Medium
MYD88,2,hpo;opentargets,Medium
CHRM4,2,gwasrapidd;opentargets,Medium
EYA1,2,gwasrapidd;opentargets,Medium
ND5,2,omim;pubmed,Medium
ZHX3,2,gwasrapidd;opentargets,Medium
SMAD3,2,hpo;omim,Medium
BLM,2,opentargets;pubmed,Medium
TBC1D24,2,clinvar;omim,Medium
GABRB2,2,omim;opentargets,Medium
NF1,2,hpo;opentargets,Medium
CCDC102B,2,clinvar;opentargets,Medium
VIM,2,opentargets;pubmed,Medium
METRNL,2,gwasrapidd;opentargets,Medium
ST8SIA3,2,gwasrapidd;opentargets,Medium
POC5,2,gwasrapidd;opentargets,Medium
ADGRL2,2,opentargets;pubmed,Medium
CAMK1D,2,gwasrapidd;opentargets,Medium
NEIL1,2,opentargets;pubmed,Medium
MTMR3,2,gwasrapidd;opentargets,Medium
CCL4,2,opentargets;pubmed,Medium
NCOA7,2,gwasrapidd;opentargets,Medium
PLCD3,2,gwasrapidd;opentargets,Medium
MAOA,2,opentargets;pubmed,Medium
PAPPA,2,gwasrapidd;opentargets,Medium
CD5,2,opentargets;pubmed,Medium
SOD1,2,opentargets;pubmed,Medium
SLC2A4RG,2,gwasrapidd;opentargets,Medium
GRIK4,2,opentargets;pubmed,Medium
NMRAL1,2,gwasrapidd;opentargets,Medium
CDH18,2,gwasrapidd;opentargets,Medium
EPHA5,2,opentargets;pubmed,Medium
SLC45A1,2,gwasrapidd;opentargets,Medium
SNX24,2,gwasrapidd;opentargets,Medium
TGFBR3,2,gwasrapidd;opentargets,Medium
PAPSS2,2,gwasrapidd;opentargets,Medium
HMGCR,2,opentargets;pubmed,Medium
NFKB1,2,omim;opentargets,Medium
NR1H3,2,gwasrapidd;opentargets,Medium
NPC1L1,2,opentargets;pubmed,Medium
E2F4,2,gwasrapidd;pubmed,Medium
KCNA4,2,gwasrapidd;opentargets,Medium
EIF2AK3,2,gwasrapidd;opentargets,Medium
COL3A1,2,clinvar;hpo,Medium
EPHX2,2,gwasrapidd;opentargets,Medium
MRPL49,2,gwasrapidd;omim,Medium
CEMIP,2,gwasrapidd;opentargets,Medium
PDCD1LG2,2,opentargets;pubmed,Medium
PDZRN4,2,gwasrapidd;opentargets,Medium
CARF,2,gwasrapidd;opentargets,Medium
OR10AD1,2,gwasrapidd;opentargets,Medium
CHRNA4,2,opentargets;pubmed,Medium
SREBF2,2,opentargets;pubmed,Medium
FCAR,2,opentargets;pubmed,Medium
GATAD2A,2,gwasrapidd;opentargets,Medium
TMEM91,2,gwasrapidd;opentargets,Medium
C1orf122,2,gwasrapidd;opentargets,Medium
DNM1,2,omim;opentargets,Medium
RGP1,2,gwasrapidd;opentargets,Medium
SGTB,2,opentargets;pubmed,Medium
MAML3,2,opentargets;pubmed,Medium
GABRA1,2,omim;opentargets,Medium
PTX3,2,opentargets;pubmed,Medium
LINGO2,2,gwasrapidd;opentargets,Medium
NAB2,2,gwasrapidd;pubmed,Medium
SLC1A2,2,omim;opentargets,Medium
LRRC7,2,clinvar;hpo,Medium
TRIM35,2,gwasrapidd;opentargets,Medium
INPP5A,2,gwasrapidd;pubmed,Medium
ZDHHC8,2,gwasrapidd;opentargets,Medium
XPR1,2,omim;opentargets,Medium
MMP3,2,opentargets;pubmed,Medium
MRC2,2,gwasrapidd;opentargets,Medium
GRIA1,2,opentargets;pubmed,Medium
RREB1,2,gwasrapidd;opentargets,Medium
IRAG1,2,gwasrapidd;opentargets,Medium
FSHR,2,opentargets;pubmed,Medium
SERPINC1,2,opentargets;pubmed,Medium
SMARCAL1,2,gwasrapidd;hpo,Medium
GABRA3,2,opentargets;pubmed,Medium
MAPKAPK2,2,gwasrapidd;opentargets,Medium
KMT2B,2,clinvar;omim,Medium
C1orf185,2,gwasrapidd;opentargets,Medium
RBFOX3,2,gwasrapidd;opentargets,Medium
CYP19A1,2,opentargets;pubmed,Medium
SLC4A1,2,opentargets;pubmed,Medium
RCCD1,2,gwasrapidd;opentargets,Medium
CCL25,2,opentargets;pubmed,Medium
CTAGE1,2,gwasrapidd;opentargets,Medium
CLCN1,2,clinvar;opentargets,Medium
ADAMTSL4,2,gwasrapidd;opentargets,Medium
EAAT1,2,pubmed;uniprot,Medium
NLGN2,2,gwasrapidd;pubmed,Medium
CLOCK,2,opentargets;pubmed,Medium
BAIAP2L1,2,gwasrapidd;opentargets,Medium
HCG20,2,gwasrapidd;opentargets,Medium
PRRG3,2,gtex;gtex_prioritized,Medium
CCDC57,2,gtex;gtex_prioritized,Medium
PRR4,2,gtex;gtex_prioritized,Medium
CNKSR1,2,gtex;gtex_prioritized,Medium
RP11-707O23.1,2,gtex;gtex_prioritized,Medium
NPHP3,2,gtex;gtex_prioritized,Medium
INCENP,2,gtex;gtex_prioritized,Medium
RP11-104N10.2,2,gtex;gtex_prioritized,Medium
MUC3A,2,gtex;gtex_prioritized,Medium
CBFB,2,gwasrapidd;pubmed,Medium
AC021218.2,2,gtex;gtex_prioritized,Medium
PSCA,2,gtex;gtex_prioritized,Medium
ANKRD20A7P,2,gtex;gtex_prioritized,Medium
RNASEH1-AS1,2,gtex;gtex_prioritized,Medium
KB-226F1.2,2,gtex;gtex_prioritized,Medium
NPIPB2,2,gtex;gtex_prioritized,Medium
MARK4,2,gtex;gtex_prioritized,Medium
CDC16,2,gtex;gtex_prioritized,Medium
CTC-510F12.4,2,gtex;gtex_prioritized,Medium
AP3S2,2,gtex;gtex_prioritized,Medium
PRUNE2,2,gtex;gtex_prioritized,Medium
IGHV3-48,2,gtex;gtex_prioritized,Medium
FAHD1,2,gtex;gtex_prioritized,Medium
SLC12A8,2,gtex;gtex_prioritized,Medium
CLHC1,2,gtex;gtex_prioritized,Medium
CTD-2651B20.3,2,gtex;gtex_prioritized,Medium
DDTL,2,gtex;gtex_prioritized,Medium
RP11-661A12.5,2,gtex;gtex_prioritized,Medium
ACTBP8,2,gtex;gtex_prioritized,Medium
LIPN,2,gtex;gtex_prioritized,Medium
AP000648.5,2,gtex;gtex_prioritized,Medium
GSTT2,2,gtex;gtex_prioritized,Medium
ST20,2,gtex;gtex_prioritized,Medium
TSPAN33,2,gtex;gtex_prioritized,Medium
JUP,2,gtex;gtex_prioritized,Medium
RPL36P4,2,gtex;gtex_prioritized,Medium
LYL1,2,clinvar;opentargets,Medium
MYO15B,2,gtex;gtex_prioritized,Medium
ARPIN,2,gtex;gtex_prioritized,Medium
GRK4,2,gtex;gtex_prioritized,Medium
ATP6AP1L,2,gtex;gtex_prioritized,Medium
NAPRT,2,gtex;gtex_prioritized,Medium
PPDPF,2,gtex;gtex_prioritized,Medium
GXYLT1P5,2,gtex;gtex_prioritized,Medium
CECR1,2,gtex;gtex_prioritized,Medium
NSUN2,2,gtex;gtex_prioritized,Medium
CELSR1,2,gtex;gtex_prioritized,Medium
IFITM3,2,gtex;gtex_prioritized,Medium
CRELD1,2,gtex;gtex_prioritized,Medium
GPR108,2,gtex;gtex_prioritized,Medium
PPFIA1,2,gtex;gtex_prioritized,Medium
AC068282.3,2,gtex;gtex_prioritized,Medium
RP11-605F22.2,2,gtex;gtex_prioritized,Medium
MRPL21,2,gtex;gtex_prioritized,Medium
TREML5P,2,gtex;gtex_prioritized,Medium
MFSD14B,2,gtex;gtex_prioritized,Medium
RPL36AL,2,gtex;gtex_prioritized,Medium
MRPS10,2,gtex;gtex_prioritized,Medium
VKORC1,2,gtex;gtex_prioritized,Medium
STAG3L5P,2,gtex;gtex_prioritized,Medium
ZNF660,2,gtex;gtex_prioritized,Medium
CELSR2,2,gtex;gtex_prioritized,Medium
SCAMP5,2,gtex;gtex_prioritized,Medium
LINC00960,2,gtex;gtex_prioritized,Medium
MRPL23,2,gtex;gtex_prioritized,Medium
AIFM1,2,omim;opentargets,Medium
NUP85,2,gtex;gtex_prioritized,Medium
RP11-820I16.1,2,gtex;gtex_prioritized,Medium
RP11-459O1.2,2,gtex;gtex_prioritized,Medium
WDR45,2,clinvar;opentargets,Medium
GTF2H2,2,gtex;gtex_prioritized,Medium
IL21R-AS1,2,gtex;gtex_prioritized,Medium
IGHV4-4,2,gtex;gtex_prioritized,Medium
CFHR3,2,gtex;gtex_prioritized,Medium
CYS1,2,gtex;gtex_prioritized,Medium
RP11-676J12.7,2,gtex;gtex_prioritized,Medium
EFCAB2,2,gtex;gtex_prioritized,Medium
LRRFIP2,2,gtex;gtex_prioritized,Medium
CADM1,2,gtex;gtex_prioritized,Medium
METTL26,2,gtex;gtex_prioritized,Medium
C2orf54,2,gtex;gtex_prioritized,Medium
SPIRE1,2,gtex;gtex_prioritized,Medium
FOXRED1,2,gtex;gtex_prioritized,Medium
PPP2R2B,2,omim;opentargets,Medium
BMAL1,2,opentargets;pubmed,Medium
DNM1L,2,hpo;opentargets,Medium
HIC1,2,gwasrapidd;opentargets,Medium
ANO1,2,hpo;omim,Medium
SOD2,2,opentargets;pubmed,Medium
DSP,2,clinvar;opentargets,Medium
NLRP3,2,hpo;opentargets,Medium
GABRA2,2,omim;opentargets,Medium
ZC3H3,2,gtex;gtex_prioritized,Medium
GAL,2,omim;opentargets,Medium
PRDX2,2,clinvar;opentargets,Medium
MRGPRG,2,gwasrapidd;opentargets,Medium
KIF6,2,gwasrapidd;opentargets,Medium
ERBB3,2,gwasrapidd;opentargets,Medium
MME,2,omim;opentargets,Medium
AARS2,2,omim;opentargets,Medium
CDKN2A,2,gwasrapidd;opentargets,Medium
ZNF475,2,gwasrapidd;opentargets,Medium
SH2B3,2,clinvar;hpo,Medium
PLAAT3,2,hpo;omim,Medium
ATXN3,2,omim;pubmed,Medium
NAALADL1,2,gwasrapidd;opentargets,Medium
POLG2,2,hpo;omim,Medium
SCN8A,2,omim;opentargets,Medium
SLC25A4,2,hpo;omim,Medium
KCNJ10,2,hpo;opentargets,Medium
POU4F3,2,gwasrapidd;opentargets,Medium
TNFRSF1A,2,hpo;opentargets,Medium
ENG,2,hpo;omim,Medium
AIP,2,hpo;opentargets,Medium
FGFR3,2,hpo;opentargets,Medium
NAA60,2,hpo;omim,Medium
CDCA2,2,gwasrapidd;opentargets,Medium
SQOR,2,hpo;omim,Medium
MRPL39,2,hpo;omim,Medium
SORBS1,2,gwasrapidd;opentargets,Medium
CCDC188,2,gwasrapidd;opentargets,Medium
CSTPP1,2,gwasrapidd;opentargets,Medium
IGSF9B,2,gwasrapidd;opentargets,Medium
SUV39H2,2,gwasrapidd;opentargets,Medium
CAD,2,omim;opentargets,Medium
GRIN1,2,omim;opentargets,Medium
FBXL4,2,omim;opentargets,Medium
APOE,2,opentargets;pubmed,Medium
MT-TS2,2,clinvar;hpo,Medium
KCNA2,2,omim;opentargets,Medium
TIGD6,2,gwasrapidd;opentargets,Medium
ST3GAL3,2,gwasrapidd;omim,Medium
DKK1,2,opentargets;pubmed,Medium
KCNQ2,2,omim;opentargets,Medium
KCNK10,2,opentargets;uniprot,Medium
SAC3D1,2,gwasrapidd;opentargets,Medium
GABRB1,2,omim;opentargets,Medium
CDKN2C,2,gwasrapidd;opentargets,Medium
TFAM,2,gwasrapidd;omim,Medium
MT-ND2,2,clinvar;opentargets,Medium
MDH1,2,omim;opentargets,Medium
GABRQ,2,opentargets;pubmed,Medium
